trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
mean	-14183.7918999938	-13599.8351443369	-583.956755656895	0.227784904634522	0.200866923233932	0.230028421718727	0.341319750412822	0.176295904344914	0.182187590848509	0.145854983816974	0.495661520989602	0.113223917682385	0.519028476086331	0.121436649040178	0.246310957191102	2.64246766193123	2.98271919363685	2.31300060276884	0.578464731688163	0.681996903245205	1.73753105426515	0.00634701409976141	36.1058952625598	193.085451451425	931.757262727696	-3421.39931434874	-3650.92197107265	-6527.51385891552
stderr.of.mean	0.337135520246718	0.202274966085812	0.266725292780662	0.000351063131585655	0.000311621835525704	0.000345738959132099	0.000396667510660946	0.00030798638584287	0.000266274022389412	0.000264848171129826	0.000399079560630934	0.000180412527510113	0.000317650708505248	0.000191369624227126	0.000233432725102799	0.00562451272069132	0.00584066701891125	0.00358357892286965	0.000567363474122516	0.000615727498387465	0.00075084560633461	9.60471883053069e-06	0.112510777110677	0.397678994991053	1.36416139725271	0.118984221824956	0.137145826448038	0.180151936075364
stdev	10.1688779970696	8.5519838114139	5.73655592382934	0.0148943449596176	0.0131553307878877	0.0146684594877095	0.0168291746027891	0.0128717587293998	0.0112970482697502	0.0112365545334087	0.016931509200417	0.007654254115592	0.0118831878801718	0.00807248552857963	0.00963420719356229	0.231024098155869	0.247798477102971	0.152038353973985	0.0240711898822847	0.0261231013370246	0.0318556762757991	0.000239350886251244	3.60764642430108	15.4192575303673	42.370390074332	4.84761920115902	5.30108186101628	7.64319815906035
variance	103.406079719285	73.1364271106854	32.9080738672215	0.000221841511776085	0.000173062728138746	0.000215163703742574	0.000283221117811161	0.00016568217278788	0.000127623299609067	0.000126260157782268	0.000286676003803807	5.85876060660571e-05	0.000141210154195462	6.51650226091276e-05	9.28179482484874e-05	0.0533721339287327	0.0614040852545516	0.0231156610791186	0.000579422182349007	0.000682416423464457	0.00101478411098851	5.72888467492561e-08	13.0151127227724	237.753502787789	1795.24995505105	23.4994119194456	28.1014688971958	58.4184780986635
median	-14183.5984492866	-13599.6365821212	-583.873293642485	0.227578076973695	0.200984374350385	0.229999660296188	0.341496991556028	0.17596939936329	0.182025745975425	0.145592986333419	0.495232652831952	0.113140181746085	0.519182944993914	0.121419519482222	0.246077009393901	2.63692683772456	2.97810102667622	2.30638404822626	0.579138521291741	0.681189227950601	1.73810085868124	0.00634108235269301	35.7827540348733	192.067064135851	929.072908791159	-3421.41179530178	-3650.81391828842	-6527.10947283711
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.227298726983858	0.200433456238264	0.229562708072063	0.340903503214339	0.175826617800987	0.181838046137049	0.145421101636086	0.495372178480119	0.112965206562047	0.518892230020406	0.121168414385703	0.246122951358631	2.63239429450362	2.97242825792147	2.30803105800514	0.57796350401542	0.681496583858188	1.73723911063525	0.0063424974335735	35.9290221455222	192.479680075122	930.802156525528	NaN	NaN	NaN
HPD95.lower	-14204.0222152537	-13615.8642761264	-595.2259563325	0.199001613418829	0.175723452546598	0.204081715948585	0.310217010449912	0.15146031162728	0.160525071090608	0.124120644284048	0.461262671261714	0.0980360294924187	0.496291144629675	0.104947688033944	0.227686678952473	2.19681063290971	2.47189973009578	2.02742238696452	0.531056062873342	0.634335302150283	1.67648071404369	0.00590391408178837	29.5908858187628	163.962467352234	848.651186791579	-3431.84529872982	-3660.6549444284	-6542.43020278836
HPD95.upper	-14164.2704875428	-13582.9440932798	-573.213366036442	0.255631578390376	0.227775830672408	0.260985624846178	0.373989673733276	0.201134657436333	0.204066137872805	0.167368812270441	0.526629777695997	0.126967903657521	0.542246767968132	0.137539776331649	0.265427701968611	3.08115116053434	3.44413837449821	2.62494179200366	0.622518479227692	0.734549785303862	1.79984036929969	0.00681711841212007	43.8303943485916	223.058339620303	1013.14435252677	-3413.1499735479	-3640.61056264081	-6512.7884844591
ACT	39569.9331475277	20139.6955273533	77826.6441537804	20000	20200.149507457	20000	20000	20610.5520449962	20000	20000	20000	20000	25723.8575629543	20231.7674584288	21134.5927045883	21338.1913949138	20000	20000	20000	20000	20000	57969.7728393184	35014.0769298484	23946.4284062751	37317.1917223002	21688.2305822296	24095.6439367866	20000
ESS	910.287107782251	1788.50767386619	462.823502049334	1801	1783.15511906003	1801	1801	1747.64848226105	1801	1801	1801	1801	1400.25654829754	1780.36842673346	1704.3148407672	1688.05309378684	1801	1801	1801	1801	1801	621.358308576451	1028.729104359	1504.1909126858	965.238763625266	1660.80860600556	1494.87600723584	1801
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
