trace	total.br.len	tree.height
mean	153.399048528485	51.6582983077053
stderr.of.mean	0.224855147371803	0.0436952832080958
stdev	7.78220806563258	1.85383357765318
variance	60.5627623767967	3.43669893363438
median	153.30919392632	51.5239825001052
mode	numeric	numeric
geometric.mean	153.202746639815	51.6253684033922
HPD95.lower	138.971532500436	48.4884198997543
HPD95.upper	168.265358636329	55.3625763440424
ACT	NA	NA
ESS	1198.50913877409	1801
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
