trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
mean	-2874.32453373213	-2255.00790408857	-619.316629643559	0.268345835390186	0.185002550908319	0.361652277550975	0.184999336150517	0.19875729117999	0.493290348729329	0.146203511274191	0.161748848816488	0.160496447099642	0.269483741212606	0.369463620563401	0.200556191124348	2.45429248563931	3.20854200749614	2.47146759722788	0.639600024585683	2.12885956938374	0.229824215671447	0.000373341516458505	47.8326143497821	137.099418581525	894.560174401291	-614.532870104218	-1212.70878363901	-427.766250345338
stderr.of.mean	0.677675784532464	0.16608790025093	0.694664866147651	0.000653316733637266	0.000584330974382633	0.000700898087740996	0.00056456615325712	0.000558646482933759	0.000769150067026102	0.000430966845978998	0.000425560938316823	0.000572248235367131	0.000710599916123631	0.000771566532564964	0.000636823300215328	0.0164796994123781	0.0128852257962617	0.0219140346974796	0.00206262684067168	0.00225051253343301	0.00129700058917396	1.45081808833281e-06	0.27575692358822	0.567907484848187	3.45496239428991	0.0826480764787723	0.154942874974634	0.0697823323999077
stdev	17.6049044547172	6.91837327620123	16.832396334924	0.0268683838701597	0.0247910598408164	0.0295191523622105	0.0235107692409683	0.0213238535183156	0.0264033953785868	0.0182843719338367	0.0179366791123517	0.0236407625481272	0.0296353276315651	0.0312981995646767	0.0258452647421154	0.667505008104833	0.546673747896137	0.927096711166726	0.087509832061173	0.0954811456773999	0.0550270662166382	4.45477265886802e-05	7.47521795377673	18.1589722910233	87.8220607849471	3.3939407689286	6.13181520284411	2.65884067956618
variance	309.932660859722	47.8638887888553	283.329566375962	0.000721910051794256	0.000614596648030942	0.0008713803561834	0.000552756270302062	0.000454706728870581	0.000697139287517978	0.000334318257014875	0.000321724457579475	0.000558885653856933	0.000878252643830207	0.000979577295990328	0.000667977709590031	0.445562935845033	0.298852186638809	0.85950831185616	0.0076579707073747	0.00911664917986886	0.00302797801641029	1.98449994421981e-09	55.8788834564659	329.748274666154	7712.71436051493	11.5188339429956	37.5991576818301	7.06943375931595
median	-2873.81596056101	-2254.61103376352	-619.472433200596	0.267897225710424	0.184037869861095	0.361828213677531	0.184562836103648	0.197919595522385	0.492877135990223	0.145182671330261	0.160642052682489	0.159840205743898	0.268766912133136	0.369027686837842	0.199529656865082	2.35224914466644	3.16467776718078	2.31170145662689	0.635602714138142	2.13286378988325	0.225736661746533	0.000371243492779882	47.4071309513787	135.790887678894	889.468525116369	-614.329325522057	-1212.31747861041	-427.609104969483
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.266989791076452	0.183340505026172	0.360437475761202	0.183496131646182	0.197613835534709	0.492581993194387	0.14507006395234	0.160756261483389	0.158746545887617	0.267838976747237	0.368128214627018	0.198890069985613	2.36943450142995	3.16323918918838	2.30919461261629	0.633607834044338	2.12670472064342	0.223279367583853	0.000370695762906977	47.256045610042	135.92308554593	890.329095207932	NaN	NaN	NaN
HPD95.lower	-2909.12710920192	-2267.84777126358	-651.616419973125	0.218877168372109	0.137172197741174	0.303170367084444	0.138501508046579	0.159694433352063	0.443680423637951	0.111001173841973	0.129960560789199	0.11524634860705	0.210232406670442	0.306788427971371	0.146284269016397	1.23692178205903	2.22073234836421	1.01146448029258	0.482370248735696	1.94646997639842	0.128254763022242	0.000284321294143839	32.9858424319715	104.265745525756	723.582651473352	-621.142902511779	-1225.6491719112	-432.88388415088
HPD95.upper	-2840.58372996785	-2241.84972016129	-586.125094755949	0.321762155903304	0.23112952728073	0.41755114200596	0.229673255705673	0.241236816887493	0.545575336643135	0.180648488954634	0.198739750690368	0.208029586125844	0.324093547433967	0.429388055777695	0.248076995495299	3.69448017885703	4.27231679972943	4.29943239057596	0.815800888670136	2.31877076855688	0.33804264405456	0.000457483066665824	61.3034500983278	175.659297538504	1065.21422824806	-608.230504304218	-1201.79080670647	-422.710617131692
ACT	53343.1866564957	20747.719848467	61314.2101821314	21284.6661153305	20000	20295.7148097766	20758.6145386606	24708.4284511876	30549.5609412683	20000	20264.7758792263	21093.484550585	20698.2298154639	21878.1410955415	21856.3827047672	21942.7917672296	20000	20113.9319163036	20000	20000	20000	38183.6287518382	48990.0065714299	35210.7292651914	55716.2358849568	21348.1059769847	22986.2153498326	24797.5457169782
ESS	675.250247645522	1736.0943883509	587.465774948483	1692.29809877338	1801	1774.75887583171	1735.18323840528	1457.80214517321	1179.06768183178	1801	1777.46846126853	1707.63630416867	1740.24543746678	1646.39216113934	1648.03117178871	1641.54134907272	1801	1790.79854450554	1801	1801	1801	943.336219668905	735.251993638356	1022.98364026242	646.490191375711	1687.26912068139	1567.02612638937	1452.56310487768
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
