trace	total.br.len	tree.height
mean	378.716983294959	79.0967071940527
stderr.of.mean	0.586167988204232	0.138409616019362
stdev	16.7098263302777	5.25256558234347
variance	279.218295988042	27.5894451968192
median	378.246919493437	78.9239353430989
mode	numeric	numeric
geometric.mean	378.350117134308	78.9241780525119
HPD95.lower	348.019252144645	69.3288620037709
HPD95.upper	412.486890440329	89.1039332246705
ACT	NA	NA
ESS	813.094493621787	1440.95952247196
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
