trace	total.br.len	tree.height
mean	270.498471552048	59.0881281187593
stderr.of.mean	0.570750884610353	0.120059806138614
stdev	18.7033665889649	4.31349345958041
variance	349.815921761207	18.606225825843
median	269.545379717321	58.7591837524884
mode	numeric	numeric
geometric.mean	269.857851411525	58.9327058657759
HPD95.lower	235.163714012279	51.430304492936
HPD95.upper	307.246066217622	67.642319949442
ACT	NA	NA
ESS	1074.45375396217	1291.52957008022
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
