trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
mean	-4932.66924892779	-4310.99309243626	-621.676156491538	0.129352361068166	0.404092263507001	0.0372640669473921	0.42929130847744	0.387997162675476	0.0235767408927497	0.518197251298162	0.0702288451336145	0.357043290763367	0.0663623446507116	0.419057152398566	0.157537212187356	3.55986152695727	2.04242025923503	1.42174400923607	1.64017902924995	1.01391166239549	0.348957779922424	0.00137255248170485	47.2068343327341	80.2902628652495	680.211645803283	-2059.06230250196	-1489.02734376577	-762.903446168532
stderr.of.mean	0.370788736609479	0.222456390566035	0.361823839769929	0.000467494125996269	0.000513791175873968	0.000216243052038753	0.000545285135403828	0.000562152777580426	0.000179228929668779	0.000648486300929183	0.000315066824917416	0.000671283859588512	0.000337103621527837	0.000679185871296222	0.000520549769341525	0.0137368463819651	0.0114082289420152	0.00780737362938993	0.00161492958359483	0.00150994501582931	0.000991708113938475	3.16973249259804e-06	0.169537660969405	0.184229903870936	1.41286936606403	0.163280471989082	0.141969864060117	0.0812509741508177
stdev	11.8957292372632	8.6139349857155	9.91992408929362	0.0181383130639418	0.0217983101105201	0.00885436922726511	0.0224953315495455	0.0238501187848236	0.00742435029530741	0.0249319011298889	0.0133671512427287	0.0276556371435959	0.0141682958810818	0.0288154116699553	0.0220850529026012	0.570186837499052	0.407855854453476	0.331238759078814	0.0644509354234108	0.0605024034679814	0.0411150727242947	9.22305957367028e-05	5.59232599849892	6.24498616008253	36.8893256484118	6.84588367336011	6.02327028654525	3.34086541342087
variance	141.508374086278	74.1998759381334	98.4048939373478	0.000328998400805563	0.000475166323674401	7.83998544127394e-05	0.000506039941523978	0.000568828166050194	5.51209773074313e-05	0.000621599693950554	0.000178680732345984	0.000764834265818239	0.00020074060817388	0.000830327949708997	0.000487749561710692	0.32511302965717	0.166346398011975	0.109719115516073	0.00415392307695268	0.00366054082540241	0.00169044920512404	8.50648278994709e-09	31.2741100734869	38.9998521396223	1360.82234679457	46.8661232691786	36.2797849447788	11.1613817105918
median	-4932.57073974732	-4310.60285473804	-621.592139830107	0.128609607054075	0.404071298132648	0.0364577324949308	0.430183092239299	0.388163289455035	0.023035026926283	0.518032269462888	0.0697081085004032	0.357259883399276	0.0656470947115958	0.418411632822005	0.15650086614854	3.51662426773827	1.99068311068025	1.38413718413287	1.63949456663769	1.01204199002354	0.348411508437074	0.00137191942221981	46.739626065718	79.9139067238505	678.75108334734	-2058.66212110067	-1488.87432521227	-762.700244625696
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.128083367218424	0.403502770398556	0.0362129399599784	0.428699721575142	0.387264226686192	0.0223882902039287	0.517596764182824	0.0689446777112568	0.355958122012434	0.0648450013430831	0.418067897703441	0.155988349698914	3.51557317600648	2.00330576275001	1.384791901761	1.63891106376507	1.01210439096788	0.346531442279094	0.0013694459638066	46.8812847566476	80.0507974578394	679.217315009841	NaN	NaN	NaN
HPD95.lower	-4954.28170051205	-4327.73164851777	-641.031921925143	0.0959054130982726	0.3609577623841	0.0219446040978264	0.381852356291419	0.342589243952571	0.00968726241696307	0.470988015523938	0.0447966983863398	0.299436497989229	0.0409549733314332	0.362815760179894	0.11749468454713	2.50027492798739	1.2931428310759	0.822523196662093	1.51004314493809	0.897741383101096	0.271202584133534	0.00119150754002692	37.3368466516415	68.7573730207982	607.031101462936	-2071.61946013435	-1499.91431496018	-769.480450849145
HPD95.upper	-4908.97782705924	-4294.30421801994	-602.039150207077	0.1664013421711	0.44746029343864	0.0560332391907904	0.47123960150808	0.438150961949428	0.0375605143683999	0.56789626802173	0.0969728774849259	0.406197497177243	0.095487830070301	0.47705031895421	0.201589873031692	4.68932041292884	2.81243711540521	2.04106377360453	1.75884355335374	1.13423669653363	0.430887971689272	0.00154495850730933	59.3506652483589	92.4208814768495	750.222976658638	-2045.31533301364	-1476.97595277482	-756.458473592308
ACT	43720.3172906524	30012.2788777238	59867.3505164257	29893.0968762698	25000	26839.9342866065	26440.8188416837	25000	26224.7703110288	30444.1042291203	25000	26512.9133906535	25474.4009810729	25000	25000	26118.7319117436	35207.5199949692	25000	28252.7749797782	28027.8245797797	26180.5030595712	53150.5270719228	41358.0252057086	39162.4334817291	66010.7952642696	25598.9318085562	25000	26616.5383491969
ESS	1029.84156543682	1500.21929968867	752.079382361285	1506.20058491639	1801	1677.53763922097	1702.85951693064	1801	1716.88824977296	1478.93988475223	1801	1698.22906055554	1767.46059832586	1801	1801	1723.85857598836	1278.84611033193	1801	1593.6487666159	1606.43933930151	1719.79124685076	847.122361346908	1088.66416556527	1149.69872903853	682.08540466367	1758.86245319622	1801	1691.61742256985
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
