parameter	al1_0	al1_1	al1_2	al1_3	al1_4	al1_5	al1_6	al1_7	al1_8	al1_9	al1_10	al1_11	al1_12	al1_13	al1_14	al1_15	al1_16	al1_17	al1_18	al1_19	al1_20	al1_21	al1_22	al1_23	al1_24	al1_25	al1_26	al1_27	al1_28	al1_29	al1_30	al1_31	al1_32	al1_33	al1_34	al1_35	al1_36	al1_37	al1_38	al1_39	al1_40	al1_41	al1_42	al1_43	al1_44	al1_45	al1_46	al1_47	al1_48	al1_49	al1_50	al1_51	al1_52	al1_53	al1_54	al1_55	al1_56	al1_57	al1_58	al1_59	al1_60	al1_61	al1_62	al1_63	al1_64	al1_65	al1_66	al1_67	al1_68	al1_69	al1_70	al1_71	al1_72	al1_73	al1_74	al1_75	al1_76	al1_77	al1_78	al1_79	al1_80	al1_81	al1_82	al1_83	al1_84	al1_85	al1_86	al1_87	al1_88	al1_89	al1_90	al1_91	al1_92	al1_93	al1_94	al1_95	al1_96	al1_97	al1_98	al1_99
μ	0.18607676111455076	5.413904089159469e-4	0.005504371376527718	0.006534713080250365	0.03930903448587526	4.916686025664133e-4	0.0047578707561908105	0.0025390083999215413	0.015764303123130187	0.004948982273307142	0.0013350993399098223	0.006611914042482459	0.0071734538445094274	0.005784846890400954	5.108117098074975e-4	0.004120323763090235	0.009174706438614576	0.014992981958219128	0.008089875144918024	0.011420554628844703	0.0036151366754993723	0.00805899456546864	0.018679889439057476	0.001414814656988574	0.00341506018205407	0.0010037674162429644	0.00181386849967113	0.016127479203720745	0.009696522183667572	0.03960198702037676	0.0011565722456159577	0.013250259165379676	0.0052141337328688005	0.006414563486440138	0.06854346967931123	0.013166736804572981	9.874693236536388e-4	0.009577888457712057	0.0015350559241130012	0.0019496475833609263	0.02291284722100237	0.011573492967049381	0.002902888524519966	0.003385294161688257	0.018434934255006474	0.013754910869650883	0.033329129841692534	0.01533539247406685	0.008984033242854957	0.0031447222821286503	0.002259642540380966	0.00785972239840878	0.0148340948079683	0.0020931913534739484	0.013522345061144237	0.014455395340872526	0.014700690889975962	0.001592854028729191	0.003266470136485799	3.803657271601075e-4	0.022321872445624186	0.0017673615206628404	0.013277390611659737	0.02581459665236735	0.010025654510282105	0.004144852812523166	0.09244482864535078	0.11504158311593145	0.039634717873885436	3.86996930329302e-4	0.0015871278645797193	0.0024825993076138036	0.07828715831350555	0.011763259087668579	0.0010581290383450345	0.04950884833340482	0.0055607270620720815	0.09449542183077775	6.013375225041851e-4	0.006491437732290558	0.0030339462301213283	0.0020949267317190716	0.0416010089692429	0.012668909246730246	0.0029966232069218593	0.024145397776502656	0.008910067973358108	0.0059595420132903705	0.002103666149728819	0.001829019482242713	0.019419604741426615	0.0015683755320857595	0.030730527649268716	0.0027350740658559527	0.026501885882933906	0.013130043039847905	0.00863576270240821	0.010326243663621325	0.01634279794898505	8.79111248886952e-4
Θ	50.313326901629495	6.787514591397732	69.5076575776834	78.87881387711819	26.218351550620575	22.792120968248234	2.8132747657389685	50.96411291871522	10.486520447733966	1274.2787732678696	16.069400926101967	23.563322990728118	10.11385567615709	14.21885576432752	36.8043308818537	1.9988948612964907	4.177332617949585	89.78029412846102	69.341666880669	2.9935282229103866	12.03993736827041	7.262778442825322	6.376051290796045	7.668187461675764	17.765737555998626	22.50868610103271	23.120285651920423	4.110343136339255	37.322628108845485	22.324750235414683	56.5459960944934	14.825488128101343	8.893257006960214	8.2400895612284	53.0366021355306	8.894628215333354	4.256278983272535	2.481212298281951	28.23820305366312	109.4096514053135	4.538977864864545	111.03983454102331	8.532227178121454	51.30298255535537	610.0793938931691	10.538279810858636	35.835482647563424	5.954200151124901	46.25054032661633	2.993236188976084	20.161814315489185	10.96785704332415	25.76939577689265	347.96837077410555	61.889668378599524	133.55817399750316	153.67229897288595	4.306058089511367	0.618092340589374	2099.9340391376795	12.216134952282658	17.889107179458176	15.024567379892087	39.15570760726717	686.1791924294411	58.457065874073756	2.3187646051921784	6.06947485949342	0.41103881127839764	74.95762354607596	40.30369925868821	402.28934014603357	6.754933753244949	54.99673661785855	34.851600876735546	31.76280975372522	853.5687615185059	9.311740922574513	255.6118605518035	65.27996781503427	0.4532643186483281	8.006366316712676	138.60257641605423	62.00882705087612	515.820065789878	6.189686612434563	0.8395450148481618	8.638526681268146	26.004937297138323	39.305066889694494	396.93380248323484	64.52154397207373	18.516521923072773	2.5206441555567665	46.08465310123989	55.27801302684883	2.9984538470652877	28.835169554599076	0.34423462130023136	1.6435389520419157
r_0	1.1259214804236966	0.613808232477704	0.006521947905240739	0.1342790307718868	2.6648406753498826	0.33283652982870204	0.3921246848657494	1.935843582541521	0.7064800184209005	1.03222781421899	1.3710495619788736	0.416361544806177	0.013784208675885406	1.8170263511684372	0.42565564261128364	0.548734712364795	1.2517423938427135	0.015351437939936761	0.4099306303925384	1.7832527887860634	0.007633983465110009	0.13005970590169239	0.23499278805220442	0.08154407849496263	0.8076939949458325	1.986364886148971	1.6541854938716898	0.8281729128190992	1.1303398557851305	0.9847539664214091	1.3846341869001604	0.004597874109300685	0.348786762395193	1.2370400436117337	0.12054351082681886	0.30062563257295094	1.537105813098581	1.6930319815287496	0.1943033221938532	0.723011034521642	2.409736902608606	1.3487088448218856	0.9196692004548265	2.3255846430759157	0.5215676528464022	2.439392994279589	0.30505446644539574	0.5507599301033155	0.717277176658606	0.5285955086509427	0.8870440099471465	2.2881450968167893	0.8982550964840791	0.02634613592372631	1.502597631933425	2.3344932989363594	0.9342715926891463	2.502431960132745	1.4203018081915966	1.519783482708114	1.0089629551472026	1.6527544193617587	0.6318407572090858	1.7649237804640086	0.6858585960094488	0.53684519584025725	1.3508620833858422	0.4550044595879435	2.4497791620622595	0.9160525611747328	1.716380106308978	0.6938696202457	1.2118848512648386	2.5800899151103485	0.17566429165122785	0.8682115148373497	1.5361343406053531	2.1660325603444583	1.6641237620357183	0.4027193056188307	1.251486156777842	2.537403336059693	0.20658654936715415	1.1457850649667958	0.38609008463922795	1.6834991932197145	2.663936440955967	0.13562417837509813	0.06100404367047633	0.2389804647499199	0.5836354896462299	1.555144356307614	0.6561088092554214	1.4510720448845338	0.9812527221528512	0.40581470073012615	0.8075568665396792	0.3544962737678415	1.9461564719113282	0.01892866798219387
r_1	0.09179087925882652	0.3494250264996331	1.069783205994035	1.361481154880644	0.23672579429842316	1.9620050399301752	2.291617895785511	0.1707681642203618	0.1789217232543023	0.7418770614895502	1.0907135467213558	1.7637425821516217	0.842386760625391	0.8511145637782507	0.6652285399786623	2.2988747833084373	0.8751636102983803	1.1342912437926007	1.6008486398634312	0.4054336418991743	0.0050581049220312976	1.008897160086554	2.3518728677229257	1.083497415485424	1.1665890726867851	0.9027269886885847	0.9859682808587984	0.5683056155101196	1.07300972731301	1.2192879616197374	0.028737393609778613	1.2190300381084143	1.5253740374425238	1.7403193425342878	1.6678463211167656	1.2681798307567247	1.094939742754847	0.7147689236968894	1.0561764714961421	1.9537225668846614	0.17002834049328458	0.7395582684599613	2.0181889879623	0.5499641234253438	1.1230067418170753	0.4064708108583417	1.755613067967322	0.5448876675471915	0.5996047619935456	1.7095530923599744	1.0861090882377344	0.26916680241079444	1.4353530283425062	0.5972744759220515	1.3344474267414046	0.3687802434746626	0.8284231627718722	0.30573538911429965	0.01649458281912278	1.3955436974324982	1.2342143958212748	0.15994352413294097	2.343134421424367	0.8651105612849267	0.9596765737994223	0.34110721766234686	0.4224164697627271	1.9464153614168545	0.2549781745149928	1.0845315421560042	0.9874560497527112	1.7033869625712292	0.8223147303360265	0.27013478677033637	0.27346895455922843	1.29444910275883	0.9499534040809284	0.7901575360991593	0.08251691583369349	2.0116157514654076	0.7207285822254288	0.2697720545582996	0.4221181388612406	1.2697725919735494	2.477761445581969	1.157780688990587	0.03331370187550243	0.016518640189770596	1.67806034257407	2.6454857465657224	0.14976099427024786	1.1930024808632624	1.1225062813941775	0.862051499514553	1.134275339402282	1.9896272523634253	1.8842183615993782	0.633417615203793	0.8451667177298127	2.6311358849838955
r_2	1.782887266414733	2.0349277326058903	1.9189639982336064	1.5001173335416214	0.10636134309145592	0.7019814613355451	0.31336277499095705	0.8978446512502202	2.113200544126802	1.2260485900734552	0.5400037939758605	0.8171166423031834	2.139132765025752	0.33574968672554245	1.9063808442796317	0.15024162200469537	0.8742927691629192	1.845668515590986	0.9864108756030427	0.8150433444994583	2.9825823591531684	1.8569005611827143	0.4094914527394044	1.8305849063933992	1.0248011894861724	0.1156051008107731	0.3629613942879486	1.6027032474461103	0.7972710828817892	0.7958854717989557	1.5884600108562523	1.7716320776589962	1.1227381847451177	0.023769375966415675	1.2074222800127339	1.4278641825397196	0.3705120908756132	0.5954992470673555	1.7456835554633088	0.3219474035199902	0.426947789767674	0.9133934050268289	0.061759283965991986	0.13076354132291151	1.3531473560643623	0.160990447215782	0.936023201141784	1.9022131639214137	1.6817717621890798	0.759606615696945	1.026309016148201	0.44882212504297275	0.6659073756328631	2.3717429411824305	0.16534826338199635	0.3030811875839131	1.2369922521232157	0.1989870886583494	1.5652050461711458	0.08714797930085529	0.7568653297703194	1.1904104108832136	0.023271682115162156	0.3736081524437512	1.3529689187435554	2.1198420874299693	1.228392218677078	0.5959849621360973	0.3021463737182826	0.9990161469605714	0.2995751777778778	0.601285653469955	0.9668093938813485	0.15729953581031744	2.5469413456545498	0.8367118181887604	0.516465275983268	0.04936243955802239	1.25652181623552	0.5828207491329941	1.0289828141242432	0.20014557764895838	2.3675171524828778	0.5851365576547347	0.13322508922946572	0.16197487585264966	0.3106733640302257	2.8437411060940607	1.256464204439599	0.11190988613554807	2.2646208279389803	0.25449670738296976	1.219747332251617	0.689024417719411	0.8843826656932141	0.6017285931004016	0.3073083759873223	2.009012283760593	0.21318231736796037	0.34526367878620734
κ_0	2.8137468316974488	1.709896635582064	1.0179131984568077	5.658728183955187	2.051230033962287	2.261198107944924	2.6225679288428565	0.7481323472562237	2.0167557873723485	2.057979311330972	3.7960806792519235	4.8104264887794175	1.6882210287269763	1.5578650843992001	3.015700733777315	3.9745426144106504	1.670258323924592	1.7934687076743552	1.6623070150258494	2.6291198344243347	4.148979698312371	2.006023961962673	2.1129228862030685	4.76832979721765	4.788358153139995	4.485238447500444	2.7295497017884687	2.6387015458986083	8.924183227118634	2.9396129552841037	2.774165123811809	2.999375293197686	4.175216720139501	1.4377168719864888	3.9025934085902896	1.6811062771021925	1.9399099574149055	1.1139254060051942	3.9525218989235764	3.5271163952039077	5.051054066444326	3.393711413570399	2.2553857496707352	6.54160046099552	3.962370388581024	2.8708651603176576	3.363531885977945	4.135153297031556	2.582826404318628	2.902782512527825	4.083562402840268	4.865189021678568	6.611500926726444	3.3745095526828144	3.4763224870238414	0.9124694548437824	1.0525198452096771	6.052278171741049	3.3593111482400326	1.8855161606226578	5.299057898422095	1.2110659610567909	0.7549769117515114	3.9822175899228514	3.1503613775794848	2.689213335692365	2.78618399109706	5.690877039208488	1.2471960957532358	3.7580055081243935	3.6911278871693582	3.29566744204024	1.392760307805673	2.5423793727062916	4.3114676761661	2.1885409295482794	2.2590629782970177	3.2207580121228556	2.680968428730318	2.1736302959471154	3.6194373720513573	2.130144162088725	4.145702463681487	1.0903091509907112	2.589149859719125	1.0759085367608863	1.6081074181598052	2.2543142195322967	2.397746823321618	6.2387949531071625	3.409734767587734	1.2346182195956228	1.022992164892646	0.9702629875575001	3.6034926225591146	1.8295228146888205	2.928779377837049	3.264650955653654	1.7510143039242987	3.5279310103439476
κ_1	1.1154944750684772	3.084886476943585	3.363107091514673	2.081209431598597	2.491884798588648	2.80723505563994	3.904960939949152	4.093538510070093	1.6460073977293737	4.477593181345348	1.5852060710050981	1.7719926178760728	3.2183271745569404	1.7698319202353772	4.992246786170269	1.3972226013583937	2.194611408781325	2.1846639113303534	7.94139165742532	3.219397071690024	3.0138166163568516	1.3962174172474473	3.7706988349720465	3.4309724969142104	6.803536205094106	1.2496533026282557	7.576485142045305	2.6768835934738333	2.124928231534894	1.2416345486825648	1.4172343965594192	5.766429768450902	3.515427227263431	3.528395017485069	2.658664317332016	3.9837018885220137	4.587461263369028	2.975225573101568	2.1361007783753343	1.893118770599332	5.629459330129114	4.345284794090737	2.9237599645188173	2.577394229630674	2.478388124587702	0.9563391242559737	2.6291961627603073	2.1317856247035687	3.3942866823865425	3.3660674456680506	2.8953548342284035	2.5227250551669242	1.5147160279646996	1.6544859756045887	3.121403882466779	2.6278399757635564	2.775104763843213	2.862469724468721	1.6388148083238319	2.7698022949629646	0.9470328904062969	2.7725429847957757	5.8014043325889055	2.154729804120589	3.0025571104071425	2.9328347056340376	5.050119836895716	5.124791208620066	0.9528428706838056	5.9034428791568425	2.0905168050037144	3.132817236609619	4.008892978649802	1.2494367521559542	3.436373965614841	2.7470634008266046	1.2755716905140952	1.436802816184973	2.558109673312493	6.027682996938493	1.144431251491664	2.7996607662716895	5.1668070066694884	3.9764180356843526	4.154765778692053	2.4006623184807703	3.8582723348360473	2.896515939872546	2.770078048742323	2.0578839865211327	1.692212937742801	1.4038083230107243	2.2789379944262564	1.4840362693732605	2.100889211625554	1.9031303761456961	1.4774706751651419	1.1370420034977644	4.670351008427575	1.1092395065220553
κ_2	3.0183446775843614	2.614043709522509	3.402879490900351	1.0703681233495916	5.446956532673065	2.6877191834867067	5.381569441769073	4.576044055793466	3.2697980484588345	3.22279516107608	2.652426272418657	1.8597101183092977	5.335372175460714	2.3766266183057683	2.049826069836906	1.3980818896591176	4.8560664073136985	3.5225561110004753	4.657559709802039	3.6799601918798426	0.7431035561918254	2.597584003053829	2.706727151288454	2.5318888655209437	4.640052984430299	3.3900452040233073	2.1463529105716104	0.9863434725296556	2.0198624617816785	3.8891534729529327	2.6972911284923677	1.9749172163440754	2.9512266187197955	5.193721431564792	4.329113164854779	2.150857482906014	1.7644751231323714	1.0281504547847629	8.992342433400683	5.858849105461134	2.853924439501663	3.2727713784599173	2.6262450320501554	2.08423641736006	2.670215208294163	1.5934683375680845	2.9729538305930108	3.0530304856289674	1.923525828953415	4.568282248401294	5.527011649718874	2.4459198149635952	1.5882483071928952	2.2632372268513716	1.8494266490748668	3.7704223974580606	3.697938389934254	1.5952216902070369	3.319418005257151	4.91729705368357	2.165837803643098	2.8396888305911188	3.78430947057762	3.3207171002182383	1.3922217378822699	2.0016611641654074	4.391006721096958	1.8543005235812307	1.4254621247134063	7.535796997640634	1.9390735464618314	4.452843933528824	0.6051194445122561	4.44183715733482	1.9126900058587746	4.511437877595878	1.2877357380967636	3.928794607119363	2.708895680365327	2.559444222521062	3.67806515940404	3.102229233390672	5.66431295588664	5.482299104248755	2.5822585020428463	1.9367916910842053	2.7296710543314733	4.300941295613282	2.3413612901308	2.0522721083355973	2.2428229976531306	2.8389825639433304	3.3194555543419884	2.6456321318339415	4.033048316041153	2.9553950925512726	1.0975219313069364	2.184560732528285	2.0485452071657706	2.5971763079906793
π_0_0	0.4246983460016232	0.3777047358625158	0.1750940611960027	0.06387554505860116	0.17734070281534717	0.17786731846584747	0.5161252884550895	0.14269838322556036	0.04055804239256767	0.3679994473351773	0.09960965022725106	0.42525903925903275	0.21310389935701393	0.4418213263163738	0.24270035645551552	0.08185778771155211	0.15219392004217439	0.21173296805978864	0.477772646773458	0.19872593041636757	0.23770956900153886	0.14368978662059792	0.3152989411679438	0.06177008999174689	0.1522890872556898	0.2664502242221474	0.07116781892730785	0.41429323106094085	0.13904099601600023	0.147682430525058	0.16260020249525156	0.2730475756322463	0.4670038771554272	0.1988883738673474	0.4122037847852884	0.3824872291697241	0.343632027040902	0.38259914179473586	0.26120659827258486	0.30116344013323093	0.22595029832633678	0.3096035455616998	0.2286731004842016	0.32905064932895606	0.04186187376417271	0.06956836520531938	0.34818893454199523	0.35948061463622594	0.1375137722593375	0.3738025334025861	0.30402399743338576	0.47735384927361835	0.3876270196132581	0.2594742010090673	0.0912080893366946	0.46161977366949714	0.20423036125019553	0.5712558179545344	0.4808928829706995	0.14052198131226537	0.18226384790624492	0.0880884101192322	0.06017028958970036	0.3669029419738163	0.25287466798126373	0.11899721907448663	0.03716896563225088	0.051487297096714804	0.41307970833398167	0.09481698341094372	0.10508145899578576	0.20084642972467762	0.1362283135607635	0.4822494908418104	0.09741416920894073	0.1561011982791744	0.08215897557665712	0.24630321832946617	0.28252832355803753	0.3053731648329175	0.42101823948815204	0.10600650500245924	0.2104659469664377	0.14439326751069678	0.2969446262727239	0.11376989421236978	0.019203112621074978	0.31237104203902344	0.19991864216168395	0.21947742442511964	0.47664139028515884	0.037667315089963314	0.39546609740561345	0.2338748555253661	0.04881136796593826	0.5949044706887137	0.5322465684419071	0.11267471995097672	0.41364783161370555	0.3004267550729794
π_0_1	0.24200757421499253	0.07617833955379556	0.4464337240324911	0.6275874739374652	0.1823897177298023	0.30673760600278716	0.08636023683223931	0.2708502828970176	0.2889936271941468	0.14823180763341387	0.16899852699003284	0.14822331434814737	0.36874351110820514	0.10372186996188186	0.029627682309106427	0.1795620287713823	0.21229840705836744	0.5177441945849085	0.1336197649894318	0.36904560034744643	0.2549672012661945	0.11823126771296119	0.29887775457325205	0.37261762620436417	0.416209975474283	0.20243800832893677	0.3166410034981341	0.3161553334136281	0.4697080207759624	0.3082522894339705	0.15989885064066328	0.29611470283864755	0.11695557036315107	0.21308128032136828	0.2775935635936121	0.4841245400450308	0.1481159848014199	0.24280376884327803	0.15847582633647203	0.318375663947231	0.3431825707140855	0.0765429637833185	0.20128585833630835	0.40491863860020855	0.18034408441922575	0.8092575624579449	0.16123499008321113	0.22121157477572218	0.3218656623506312	0.10794915055669754	0.3769720514608926	0.122305204911319	0.20217933597359325	0.10951621947617261	0.4101836310457344	0.02638522113246467	0.24900493759387873	0.1480216175050811	0.11451320690782316	0.3791526825050527	0.3113832046961673	0.03878799435661695	0.5945759515634076	0.0798615878266904	0.17149579426084444	0.4388272242526412	0.5278526547838771	0.1442556572929224	0.30958764742181494	0.22862216142035938	0.41877026104395815	0.17102531012273112	0.30955727574513875	0.4333200787720259	0.518890734004479	0.42435424579226727	0.13176795509521844	0.44087180445784646	0.08083024289103559	0.3079082884798637	0.16108169363645825	0.20786464558102807	0.23829409552121159	0.199407674723491	0.3164711167835369	0.027847045926931033	0.11802200052692645	0.32501662744556975	0.05711177151179323	0.10893598337563849	0.10888713657247842	0.773915698248482	0.24992507229039668	0.32146825297086457	0.41750579864014264	0.062592416328247	0.08807573182957261	0.3227109504500927	0.0670202911424272	0.3045359175943537
