simulation	mean	HPD95.lower	HPD95.upper	stdev	ESS
al2_0	2.22799906346066	1.94011527072846	2.52834345857274	0.150137859962605	1801
al2_1	4.09371184550435	3.04119037159321	5.31122536615803	0.58732871245615	1670.15862604472
al2_10	0.73213170057258	0.497628363719738	0.949471265877685	0.116483355479412	1801
al2_100	4.39843941828499	4.10070585471595	4.68228889854431	0.152773841830418	1801
al2_101	2.51543469251706	1.8713326570892	3.17421504165458	0.345269750342209	1801
al2_102	2.17669124298317	2.00456097253359	2.35751739727308	0.0924400997145977	1629.92116750823
al2_103	1.83165425008906	1.48568327827553	2.17152316690837	0.179306529507188	1704.67219237536
al2_11	2.73679210292498	1.07995876514672	4.8303507492399	1.05356555604026	1626.69399285274
al2_12	4.19716897553955	3.64345198948502	4.79702724427902	0.293905079789994	1584.12157588741
al2_13	2.60056715914029	2.38137747002306	2.80752451083914	0.107460053553298	1742.87278458657
al2_14	3.46179427995609	3.13773591330721	3.78942052716989	0.167651284084449	1352.41499654692
al2_15	2.40998184585859	1.1186934072564	3.926334229133	0.781612162977896	1801
al2_16	3.09461049106063	2.48445001692875	3.72391156571425	0.324946567401788	1801
al2_17	4.03067078765858	3.45685670518867	4.62653667792133	0.298292966413566	1801
al2_18	2.36713693254229	1.82343409914656	2.96232191425246	0.299794137636666	1801
al2_19	3.97567069083408	3.50009464944073	4.46324686792353	0.252829553913488	1362.54562478003
al2_2	2.12084371427935	1.69419377454786	2.54602657102304	0.219328658369333	1801
al2_20	1.75767583551571	1.45460854034811	2.09460355783821	0.166537386125326	1801
al2_21	5.38593211622099	4.00209859147315	6.91930889835079	0.76874171427396	1375.03106351191
al2_22	2.42776902714564	2.1999554297183	2.64228528782845	0.116785996820886	1653.03801080064
al2_23	5.87504414925985	4.93877970772207	6.85255452615471	0.494793574606099	1692.77516633487
al2_24	1.9822234076169	1.30525577555457	2.80740862534248	0.398465920587852	1801
al2_25	4.08501717107869	3.60116725934294	4.58600692202621	0.257378191003435	1736.16431470915
al2_26	3.68177694400435	2.67162665782295	4.71419382332434	0.525238263899066	1736.92773099341
al2_27	1.78665346409541	1.19588261948927	2.43143933955487	0.322745947884893	1801
al2_28	1.36422777944708	1.06787696189196	1.67764634735054	0.156697080859304	1801
al2_29	1.87320852487592	1.02991011891732	2.84030467910612	0.493150296073704	1513.19370691777
al2_3	3.83928453058736	3.3272936625898	4.42809988636967	0.285963790199641	1801
al2_30	2.20956012292747	1.19564080728014	3.31898014540568	0.573194855765424	1801
al2_31	1.94293922193191	1.71114341087432	2.18520787249392	0.118728590732896	1801
al2_33	2.69088002884387	1.53216594062707	4.15290089908305	0.699643393347987	1739.28347652259
al2_34	1.81295634942802	1.69198767945684	1.92657920075019	0.0608427446479221	1507.20320895792
al2_35	1.39764004075764	1.29764150014034	1.49151443313663	0.0494504055228826	1801
