simulation	true.val	mean	HPD95.lower	HPD95.upper	stdev	ESS	is.in
al2_0	0.016544099308160348	0.016271938561243	0.0154752808963953	0.0170306949372755	4.09450952496284e-4	1293.26979235939	TRUE
al2_1	0.0014525657154644742	0.00143102240684217	0.00126614355086923	0.00160655153184609	8.61840931177828e-5	762.39814265627	TRUE
al2_10	0.001425720516280904	0.00118267846028552	0.00100751928126343	0.00137152612919568	9.34919451040023e-5	1306.5272045739	FALSE
al2_100	0.013404584705274737	0.0136386660331287	0.0129792548280216	0.0142819029180777	3.35425423727609e-4	1010.52563136674	TRUE
al2_101	0.008246507751582593	0.00825960444862326	0.00759922938050694	0.00894025905581088	3.42078292181462e-4	1709.04777684362	TRUE
al2_102	0.028209315210393826	0.0268552685637064	0.0257965721315151	0.0278726837410666	5.38197201165954e-4	881.977872951999	FALSE
al2_103	0.006913354830361002	0.00725839476556594	0.00681215735644713	0.00782679044595872	2.57447522871991e-4	1201.30601987427	TRUE
al2_11	0.013796528122856104	0.0135515411029863	0.0123283897882895	0.0148631225894606	6.63950310307458e-4	1628.79255224009	TRUE
al2_12	0.012629117102185209	0.0123908255710552	0.0116479857029329	0.0130984558617588	3.76572024441174e-4	1379.19321974267	TRUE
al2_13	0.0052858214139482815	0.00566224775411709	0.00517944235996194	0.00620869558905797	2.61476935814862e-4	208.989485524227	TRUE
al2_14	0.025103571164977096	0.0259789578072452	0.0246116106853122	0.027350498684581	6.99112811186887e-4	1268.25755771158	TRUE
al2_15	0.0017683231163586842	0.00177502568125063	0.00156609196314118	0.00198958056169244	1.1346741215378e-4	1579.95912755215	TRUE
al2_16	0.003631950177180098	0.00390084725467093	0.00354638182864429	0.00431033304564917	1.94300227790215e-4	1531.27223988919	TRUE
al2_17	0.01577943578631167	0.015778947542727	0.0150907624185842	0.0166176718740318	3.79425038416525e-4	959.771442322941	TRUE
al2_18	0.004832463371482438	0.00459323233766092	0.00411467357122729	0.0050952909893717	2.5187160482518e-4	1498.76308582476	TRUE
al2_19	0.003338519745722888	0.00327596992972858	0.00301173171866735	0.00354939307273055	1.37460928099939e-4	848.91098209336	TRUE
al2_2	0.010806940782386872	0.0109279645467646	0.0100796891090104	0.011807811382672	4.40707231175927e-4	1550.88610937261	TRUE
al2_20	0.0022322933470235594	0.00235091602618465	0.00212067226823695	0.00257109111524101	1.14813089345639e-4	1101.59167709635	TRUE
al2_21	0.0047313054460628905	0.00465769754634528	0.00424693414344181	0.00517054176752183	2.371190010198e-4	1290.17416612598	TRUE
al2_22	0.036324686942728154	0.0357865902309899	0.0343035814286654	0.0370635267222478	7.04274628054669e-4	806.509985662497	TRUE
al2_23	0.0027705671694889518	0.00284994354434231	0.00261566085411888	0.00306641762046237	1.14508514376674e-4	929.946997978955	TRUE
al2_24	0.0051129264901683446	0.0051845557365011	0.00439658658659181	0.00589684376591314	3.92307782533469e-4	1733.86258966205	TRUE
al2_25	0.00830904504074292	0.00837394970316191	0.00789101250502979	0.00884778091111629	2.49003158414225e-4	746.32475821967	TRUE
al2_26	0.0018372758637401302	0.00181935605151719	0.00161497275173975	0.00206254950529244	1.15078536826393e-4	1588.25596510837	TRUE
al2_27	6.401405583284911e-4	7.32896659544127e-4	6.1347502353564e-4	8.49886163239306e-4	6.08788192408866e-5	1155.44332639978	TRUE
al2_28	0.007320054574479076	0.00729413030879525	0.0066522337614954	0.00789349419004616	3.22963827818201e-4	1552.07884589419	TRUE
al2_29	0.004195454112267837	0.00381711858906516	0.00346332423010254	0.00412321121391399	1.69059947818218e-4	1374.7466676456	FALSE
al2_3	0.009579273750625858	0.00970255989696787	0.00915150598595719	0.0102747479250249	2.82112107438559e-4	967.470619094577	TRUE
al2_30	0.001350830030477242	0.00126007279817991	0.00102507052654435	0.00152229144849225	1.31316744581412e-4	1254.25876075057	TRUE
al2_31	0.04017973105270891	0.0380467673910022	0.0366214148089426	0.0395538220407278	7.42900820537347e-4	1000.04617741237	FALSE
al2_33	4.355981735341751e-4	4.59865567564667e-4	3.7509456841556e-4	5.51177733863694e-4	4.66216423317717e-5	770.658232881689	TRUE
al2_34	0.021027002234776035	0.0217325165428657	0.0207062974367662	0.0227734214339374	5.36497593737331e-4	852.743960943645	TRUE
al2_35	0.03883150710373248	0.0380243867683423	0.0366617150853172	0.0393669610362338	6.881476352697e-4	763.371948193127	TRUE
al2_36	0.0014070317523372288	0.0015007924707618	0.00125814124074014	0.00175259894563099	1.28462001477984e-4	979.799974845155	TRUE
al2_37	0.001058340221758115	9.75636237037434e-4	7.66953844874196e-4	0.00117991360532697	1.03444082872928e-4	211.50869263033	TRUE
al2_38	7.75454967384871e-4	8.19563196832325e-4	6.97675529554285e-4	9.48054297664029e-4	6.44555125630879e-5	962.66990679718	TRUE
al2_39	0.07612013558856139	0.0765294019255551	0.073896251106154	0.0791155890916823	0.00132750992227475	937.380320853018	TRUE
al2_4	0.019646256160419567	0.0194426606739201	0.0185605148509921	0.0204077023112942	4.79625857662163e-4	944.690028814073	TRUE
al2_40	0.007722855366671173	0.00807825488494394	0.00744358565251341	0.00875037762667387	3.41692789413793e-4	1548.70268336207	TRUE
al2_41	0.01753570205813344	0.0176900312702864	0.01674812786439	0.0187679257886602	5.16826534895105e-4	1151.11431865942	TRUE
al2_42	0.005695434856736937	0.00563244329851187	0.00496630693570339	0.00626270300300093	3.36546354153433e-4	1421.08054953659	TRUE
al2_43	0.001324106751696448	0.00122769958186014	0.00100273283353948	0.00147531307871528	1.20443875304888e-4	1565.14513764213	TRUE
al2_44	0.009797300485868903	0.00939085810569891	0.00872373778991184	0.0100598343938965	3.3475727492482e-4	1241.19683619837	TRUE
al2_45	0.009077218300358953	0.010316954998762	0.00941498966697565	0.0112833845586394	4.78777704670418e-4	1371.714054894	FALSE
al2_46	0.005962107874234687	0.00608109538856709	0.00559742497780537	0.00660559942746144	2.50381659513255e-4	1195.88901735314	TRUE
