simulation	mean	HPD95.lower	HPD95.upper	stdev	ESS
al2_0	0.016271938561243	0.0154752808963953	0.0170306949372755	0.000409450952496284	1293.26979235939
al2_1	0.00143102240684217	0.00126614355086923	0.00160655153184609	8.61840931177828e-05	762.39814265627
al2_10	0.00118267846028552	0.00100751928126343	0.00137152612919568	9.34919451040023e-05	1306.5272045739
al2_100	0.0136386660331287	0.0129792548280216	0.0142819029180777	0.000335425423727609	1010.52563136674
al2_101	0.00825960444862326	0.00759922938050694	0.00894025905581088	0.000342078292181462	1709.04777684362
al2_102	0.0268552685637064	0.0257965721315151	0.0278726837410666	0.000538197201165954	881.977872951999
al2_103	0.00725839476556594	0.00681215735644713	0.00782679044595872	0.000257447522871991	1201.30601987427
al2_11	0.0135515411029863	0.0123283897882895	0.0148631225894606	0.000663950310307458	1628.79255224009
al2_12	0.0123908255710552	0.0116479857029329	0.0130984558617588	0.000376572024441174	1379.19321974267
al2_13	0.00566224775411709	0.00517944235996194	0.00620869558905797	0.000261476935814862	208.989485524227
al2_14	0.0259789578072452	0.0246116106853122	0.027350498684581	0.000699112811186887	1268.25755771158
al2_15	0.00177502568125063	0.00156609196314118	0.00198958056169244	0.00011346741215378	1579.95912755215
al2_16	0.00390084725467093	0.00354638182864429	0.00431033304564917	0.000194300227790215	1531.27223988919
al2_17	0.015778947542727	0.0150907624185842	0.0166176718740318	0.000379425038416525	959.771442322941
al2_18	0.00459323233766092	0.00411467357122729	0.0050952909893717	0.00025187160482518	1498.76308582476
al2_19	0.00327596992972858	0.00301173171866735	0.00354939307273055	0.000137460928099939	848.91098209336
al2_2	0.0109279645467646	0.0100796891090104	0.011807811382672	0.000440707231175927	1550.88610937261
al2_20	0.00235091602618465	0.00212067226823695	0.00257109111524101	0.000114813089345639	1101.59167709635
al2_21	0.00465769754634528	0.00424693414344181	0.00517054176752183	0.0002371190010198	1290.17416612598
al2_22	0.0357865902309899	0.0343035814286654	0.0370635267222478	0.000704274628054669	806.509985662497
al2_23	0.00284994354434231	0.00261566085411888	0.00306641762046237	0.000114508514376674	929.946997978955
al2_24	0.0051845557365011	0.00439658658659181	0.00589684376591314	0.000392307782533469	1733.86258966205
al2_25	0.00837394970316191	0.00789101250502979	0.00884778091111629	0.000249003158414225	746.32475821967
al2_26	0.00181935605151719	0.00161497275173975	0.00206254950529244	0.000115078536826393	1588.25596510837
al2_27	0.000732896659544127	0.00061347502353564	0.000849886163239306	6.08788192408866e-05	1155.44332639978
al2_28	0.00729413030879525	0.0066522337614954	0.00789349419004616	0.000322963827818201	1552.07884589419
al2_29	0.00381711858906516	0.00346332423010254	0.00412321121391399	0.000169059947818218	1374.7466676456
al2_3	0.00970255989696787	0.00915150598595719	0.0102747479250249	0.000282112107438559	967.470619094577
al2_30	0.00126007279817991	0.00102507052654435	0.00152229144849225	0.000131316744581412	1254.25876075057
al2_31	0.0380467673910022	0.0366214148089426	0.0395538220407278	0.000742900820537347	1000.04617741237
al2_33	0.000459865567564667	0.00037509456841556	0.000551177733863694	4.66216423317717e-05	770.658232881689
al2_34	0.0217325165428657	0.0207062974367662	0.0227734214339374	0.000536497593737331	852.743960943645
al2_35	0.0380243867683423	0.0366617150853172	0.0393669610362338	0.0006881476352697	763.371948193127
al2_36	0.0015007924707618	0.00125814124074014	0.00175259894563099	0.000128462001477984	979.799974845155
al2_37	0.000975636237037434	0.000766953844874196	0.00117991360532697	0.000103444082872928	211.50869263033
al2_38	0.000819563196832325	0.000697675529554285	0.000948054297664029	6.44555125630879e-05	962.66990679718
al2_39	0.0765294019255551	0.073896251106154	0.0791155890916823	0.00132750992227475	937.380320853018
al2_4	0.0194426606739201	0.0185605148509921	0.0204077023112942	0.000479625857662163	944.690028814073
al2_40	0.00807825488494394	0.00744358565251341	0.00875037762667387	0.000341692789413793	1548.70268336207
al2_41	0.0176900312702864	0.01674812786439	0.0187679257886602	0.000516826534895105	1151.11431865942
al2_42	0.00563244329851187	0.00496630693570339	0.00626270300300093	0.000336546354153433	1421.08054953659
al2_43	0.00122769958186014	0.00100273283353948	0.00147531307871528	0.000120443875304888	1565.14513764213
al2_44	0.00939085810569891	0.00872373778991184	0.0100598343938965	0.00033475727492482	1241.19683619837
al2_45	0.010316954998762	0.00941498966697565	0.0112833845586394	0.000478777704670418	1371.714054894
