simulation	mean	HPD95.lower	HPD95.upper	stdev	ESS
al2_0	0.290571815080056	0.268559703927679	0.316386320001168	0.012200388395564	1801
al2_1	0.215013393610488	0.178745819660956	0.253580646094026	0.0197652039815892	1573.22345618345
al2_10	0.024342790996933	0.0150655549795897	0.0354070116656935	0.00532706228545912	1801
al2_100	0.208611286459656	0.197256330375889	0.220161629814915	0.00591696391802037	1723.76722268385
al2_101	0.168933441650806	0.131681459308208	0.201414320324292	0.0181368526270498	1801
al2_102	0.110367311264904	0.103033782281484	0.117284413673268	0.0037542284390419	1333.2417736274
al2_103	0.173633581517364	0.149597347978023	0.20025667602063	0.0129589249403447	1737.51541899866
al2_11	0.288576331668366	0.230866797788366	0.346550700390977	0.0298933809716915	1801
al2_12	0.425743033472029	0.39801851620325	0.456042612145308	0.0148021538831143	1801
al2_13	0.0997982761590743	0.0921248283989568	0.107467647681229	0.00401404450329633	1801
al2_14	0.0827201190119219	0.0748753939428092	0.0905643402304691	0.00407920578091075	1801
al2_15	0.130713462793179	0.086976257426009	0.171137872472887	0.0215356766398918	1801
al2_16	0.0614432319313273	0.0473357259185456	0.0778198521104161	0.00787999749066164	1801
al2_17	0.214977202166922	0.192028180385508	0.236857694485325	0.0116978158320799	1801
al2_18	0.520249462098185	0.472108881612837	0.564455865963428	0.0233504246483993	1801
al2_19	0.10425991209271	0.0914117138368983	0.118269905040301	0.00690683411644393	1597.82001995145
al2_2	0.223335181797214	0.194275086085228	0.253121536300492	0.0155449819889127	1628.64091594056
al2_20	0.110601521740372	0.0916787080076242	0.131948222289204	0.0104133117030795	1763.29916331187
al2_21	0.324560478117555	0.275654237252484	0.373882974294919	0.0246814420080989	1691.61478175999
al2_22	0.623370565472052	0.609198514551726	0.63858978683641	0.00745999468569154	1742.82636284142
al2_23	0.131563303546601	0.112138550021912	0.150606148365218	0.00990554048935535	1619.4052819851
al2_24	0.164110265916058	0.123816319545813	0.202020246673124	0.0199836640404952	1793.23263332066
al2_25	0.241503302021359	0.223574917710277	0.260463012428276	0.00935723021529735	1801
al2_26	0.147616041333337	0.11397081386694	0.178727460485107	0.0166455376383737	1801
al2_27	0.0668947707913456	0.0428719969491601	0.0924494668863752	0.0129599182247956	1641.24141730934
al2_28	0.40452223920421	0.364304565024117	0.442233287866015	0.0202294145538159	1801
al2_29	0.0803189864091339	0.0531100372373398	0.113644684785296	0.0153330010755195	1801
al2_3	0.397631316242288	0.369933015244787	0.42857445357005	0.0149612334442056	1801
al2_30	0.237757744866796	0.189826209156957	0.28948052818127	0.0257319913373281	1700.88722648585
al2_31	0.146839831325271	0.129180386478392	0.165383667155684	0.00928444712000321	1801
al2_33	0.433659115291841	0.373909335459006	0.489855646715533	0.0301518398974858	1558.12832049395
al2_34	0.119378610833861	0.113529038611766	0.125014910947007	0.00303713130320786	1801
al2_35	0.128882594505299	0.12304563704062	0.134446163609447	0.00295626660576683	1723.43016651932
al2_36	0.0187532799296981	0.00527930568286119	0.0321335853144697	0.00733957965101118	1801
al2_37	0.0968533890203148	0.0836778373815613	0.110507865912621	0.00706963243860021	1801
al2_38	0.161854973004112	0.127361223235051	0.19763517765229	0.0180795180718783	1801
al2_39	0.471639914848112	0.454145559745691	0.489706815236378	0.0092909404414805	1801
al2_4	0.128573217823009	0.113596430548159	0.144304358526627	0.00769565303364722	1687.92973723845
al2_40	0.202764736469287	0.17504202859443	0.234682932265685	0.0150858309534395	1649.59794564941
al2_41	0.269351555396837	0.244683321137295	0.294653700605177	0.013060169791086	1682.38863363363
al2_42	0.359216921269634	0.312274414915494	0.407834699600161	0.0249899751532208	1801
al2_43	0.533831717784238	0.471739698295295	0.581923105197011	0.0284651486529164	1801
al2_44	0.397307226273438	0.358267759411098	0.43907040603207	0.0206675050318753	1801
al2_45	0.323760426952772	0.287621798858018	0.35699202190468	0.018013102785597	1404.35697641906
al2_46	0.204338895830879	0.180059537085032	0.229293786034846	0.0128454727056579	1782.25215545516
al2_47	0.170034829505705	0.133214704870964	0.205826254909838	0.0189828800587874	1268.55911227304
al2_48	0.113395043355027	0.0882073887936619	0.141376947596076	0.013230022577786	1801
al2_49	0.0953489994877782	0.0771445137705016	0.117946626836627	0.0105795383254518	1801
al2_5	0.158565910664227	0.132687358208275	0.18559486776066	0.0138543413765168	1801
al2_50	0.0903505486976317	0.0820975035698211	0.0976939743717722	0.0040423333365392	1801
al2_51	0.0962399315185622	0.0752645801323661	0.116171520731612	0.0105146613384014	1639.14850724791
al2_52	0.372807583449857	0.3261266427586	0.423989624921392	0.0249202360605931	1801
al2_53	0.0267015274885851	0.0203203720181335	0.0331863641201101	0.0032515412273023	1801
al2_54	0.152805043731565	0.124741983092789	0.175254747669955	0.012641116942209	1798.06708954863
al2_55	0.12425794931744	0.117341481586868	0.130857667489063	0.00358719466576111	1801
al2_56	0.219116639343191	0.170586413875033	0.273105477431784	0.026055456868848	1652.21249033745
al2_57	0.317775709734411	0.288910932149789	0.344931590084558	0.0146397637065012	1801
al2_58	0.469049645254408	0.458952896219305	0.479653312393478	0.00545207412806952	1627.22385982029
al2_59	0.108463698186171	0.0932501298136521	0.12494821186788	0.0079918891843284	1519.25320115864
al2_6	0.248627149517298	0.199290845551763	0.299389601117632	0.0264218976329514	1402.43734082557
al2_60	0.316499865356295	0.263674433817002	0.363778069945601	0.0260754129664547	1801
al2_61	0.0663745857164361	0.0577688078459357	0.0743123448934487	0.0043357304879491	1801
al2_62	0.189056728460023	0.180886087176614	0.198113032869652	0.00440210301375978	1729.79140552177
al2_63	0.281260803538383	0.226754199059402	0.335426621699346	0.0280365060005511	1801
al2_64	0.0543869621855333	0.0364354982893934	0.0766605290383785	0.01024222076045	1465.70888422422
al2_65	0.648040468460048	0.60433723735451	0.690265285199409	0.0228765031002411	1801
al2_66	0.657868916421183	0.609298479803254	0.702961580606593	0.0245846567092082	1612.66509855757
al2_67	0.50570308684823	0.445811721985499	0.562751738586384	0.0298208037544963	1801
al2_68	0.35820850016773	0.337308852923228	0.378218681667642	0.0105948059926746	1801
al2_69	0.543494932396374	0.476151116812571	0.605323550033487	0.0330003925780075	1801
al2_70	0.35187075022627	0.294520880692275	0.413337370913163	0.0306036630333015	1801
al2_71	0.222101486343881	0.189835932809554	0.250903057674179	0.0157249627879988	1633.97007947347
al2_72	0.404301548345604	0.346546162850055	0.463489055404545	0.03004160648995	1360.3960078799
al2_73	0.354256656621786	0.333534023521143	0.376776896898054	0.011206605134635	1801
al2_74	0.45728316616366	0.396621056864243	0.515816185420222	0.0301739634945931	1788.55815951474
al2_75	0.350817512553961	0.313586259718488	0.388669730116593	0.0193754824446242	1700.36990393429
al2_77	0.0143893682177072	0.00516581547499909	0.0247066796742009	0.00526356318070056	1801
al2_78	0.17676981906524	0.138866674271286	0.214882646604471	0.0199208443135137	1324.69855828526
al2_79	0.096992409498517	0.0873402310119741	0.108185473068627	0.00535957936439267	1801
al2_8	0.145279468076254	0.115840518964389	0.17465698341804	0.0152212813137203	1801
al2_80	0.603586509857717	0.588581905084213	0.620880509159881	0.00827672410526683	1801
al2_81	0.142151769504087	0.13092054958724	0.152965358135176	0.00569237932482461	1801
al2_82	0.345816751661182	0.299661013715221	0.395163300848442	0.0246628282131853	1801
al2_83	0.397778813537383	0.362282049388303	0.43193521649362	0.0182209352819888	1801
al2_84	0.589682007871888	0.533529975704902	0.646816346082643	0.0295870344285243	1801
al2_85	0.111469146236355	0.0786408870721074	0.143919586663877	0.0168146519198418	1625.15981088303
al2_86	0.357938077373788	0.315908658873355	0.398503640719602	0.0216514607294293	1616.55317423177
al2_87	0.0434815276819702	0.0390993527465697	0.0477649507349511	0.00224009785548274	1801
al2_89	0.36716712181754	0.305981445645604	0.42191513511307	0.0298596071599978	1801
al2_9	0.157327108879054	0.149348768816509	0.164966403263326	0.00407879590722719	1801
