simulation	mean	HPD95.lower	HPD95.upper	stdev	ESS
al2_0	0.0535499448754799	0.0437341733417909	0.0631474468126309	0.00497927207862163	1616.74192158214
al2_1	0.380223003930549	0.329760619010894	0.428207431236296	0.0253994849347183	1801
al2_10	0.77280355274472	0.736435693490263	0.805876087512071	0.0180599128689947	1711.89162533374
al2_100	0.312026838649986	0.300467172034894	0.323238152612137	0.00590083059438492	1801
al2_101	0.365277898476688	0.317043487535279	0.409533803805742	0.0235124837884464	1631.26543242774
al2_102	0.141505125216564	0.132216000153834	0.151007561836832	0.00494590286831998	1514.29338106243
al2_103	0.090134573825512	0.0718610681431948	0.106470616804586	0.00875098856603303	1801
al2_11	0.247329066588939	0.193512227420624	0.300552647101536	0.0282888425853624	1801
al2_12	0.0350895962126292	0.0282827678414937	0.0424074269609146	0.00368729736263328	1801
al2_13	0.132387239388029	0.123113501155941	0.140492988503543	0.00447608486736045	1643.1763879801
al2_14	0.101564259728799	0.091736819487675	0.112503677016828	0.00515833496283692	1695.56846457769
al2_15	0.269492701871691	0.215787722647689	0.324166896802891	0.0285241205784527	1801
al2_16	0.121199403669356	0.099435846693095	0.140334855968997	0.0105744001607973	1801
al2_17	0.308625521014934	0.278173995185746	0.33646954202716	0.0150139134487102	1794.8645914626
al2_18	0.145560351154499	0.116628854292919	0.176781230338481	0.0156200146543801	1801
al2_19	0.167544557179775	0.149919029086872	0.185365908113171	0.00889448926339884	1445.27914122459
al2_2	0.0579214033045557	0.0428024051576808	0.0745038810636057	0.00811727904285636	1801
al2_20	0.430354437591892	0.392723448221049	0.466476709092495	0.0191865292029376	1691.78010901292
al2_21	0.183315668150089	0.153301914173642	0.216884555737252	0.016643885463824	1787.79359205091
al2_22	0.236413558079804	0.222947705657184	0.251135662134809	0.0072132720712506	1560.61205012951
al2_23	0.579216004687374	0.544813235908839	0.615145287705766	0.0177813242618422	1627.52071854053
al2_24	0.305361444966178	0.255782445493573	0.359150322174074	0.0260883759809484	1801
al2_25	0.172313762286167	0.154162956157475	0.191540036607984	0.00955002209465168	1801
al2_26	0.0926798680355281	0.0691985380941629	0.117548093770763	0.01238319902572	1801
al2_27	0.366489109454733	0.315833860816323	0.418153542298997	0.0264150956545502	1621.38530731282
al2_28	0.362517706629591	0.323341586603317	0.402075437351569	0.020472531560984	1801
al2_29	0.151726592047177	0.110619423867891	0.195093073147346	0.0214615310655607	1801
al2_3	0.169505070698046	0.148961171031039	0.19319982930798	0.0115655558309169	1710.28316525414
al2_30	0.312528309950131	0.25818631649388	0.367269816932041	0.0282537681805704	1545.14133154962
al2_31	0.311235367112042	0.288304446986131	0.33626465365431	0.0122737830836672	1605.89722094625
al2_33	0.283402461819409	0.230381039733774	0.338807742637457	0.0281573940681651	1801
al2_34	0.261311205881298	0.253395299275402	0.269386838540451	0.0041816413044137	1801
al2_35	0.27960152245974	0.27175330308571	0.288293645063772	0.00430914508135748	1801
al2_36	0.196502699772939	0.151647620974824	0.242079401371619	0.0232529764807742	1801
al2_37	0.546321542659127	0.531240732509831	0.560517901430492	0.00743313726378208	1801
al2_38	0.127422109098048	0.0962842778471651	0.160195595894195	0.016477331827665	1801
al2_39	0.114843252899713	0.103802820130214	0.12488611540093	0.00524475977533	1801
al2_4	0.399144158333077	0.380311526148427	0.421851228081445	0.0105219397340981	1434.93449923472
al2_40	0.603336623637505	0.56780870797112	0.638651611294866	0.0185629817145756	1673.99048424584
al2_41	0.415987663832969	0.387148459426426	0.445399425864389	0.0147962749844209	1620.42763256631
al2_42	0.387895726636932	0.340788349607083	0.430452291797977	0.0235954502184649	1491.15687046361
al2_43	0.228254724912367	0.179558946517096	0.27140059626393	0.0237149745922502	1801
al2_44	0.293818770858744	0.255921069136224	0.332396510495194	0.020116684708399	1801
al2_45	0.242931602852689	0.211285885673068	0.276450119982974	0.0167322396664585	1743.74305074216
al2_46	0.123882552352863	0.105333722580247	0.14367556216621	0.00963418389118729	1801
al2_47	0.296498958308399	0.246855149203476	0.344737323122619	0.0245067050314539	1801
al2_48	0.564503708591916	0.524343299974443	0.602763810550378	0.0202337756963643	1793.32744724502
al2_49	0.319156452482689	0.283148913612602	0.357966833849531	0.0194387619051767	1652.68304999791
al2_5	0.210015147123335	0.183055805048597	0.236526201481095	0.0137760308203078	1698.81604676005
al2_50	0.622581187878527	0.611658647651366	0.632778350245301	0.00553228676391061	1276.57536194029
