simulation	mean	HPD95.lower	HPD95.upper	stdev	ESS
al2_0	0.390613180735919	0.367417942841878	0.414016698604679	0.011974789236458	1517.82190516401
al2_1	0.302977543864124	0.253308656923962	0.353393620534155	0.0261642771923734	1508.2190048515
al2_10	0.389250598835877	0.326665696304952	0.450179996236445	0.0321178650932039	1627.00781443029
al2_100	0.248594044045311	0.225744873484976	0.274058743142695	0.0127287791558912	1474.7128851657
al2_101	0.408066381009047	0.369171184628014	0.445867810617728	0.0200128012417182	1801
al2_102	0.179087186280031	0.170846979190674	0.187879289444327	0.0043516090752369	1801
al2_103	0.381569519201643	0.349872140038626	0.415984423541681	0.0171408669685485	1801
al2_11	0.141758599369087	0.112104949099907	0.179566267264926	0.0168564869046676	1502.65896857953
al2_12	0.16452103160181	0.146272585497272	0.185460524104729	0.0101546641076841	1728.89267080314
al2_13	0.178759056993683	0.168468124518858	0.189730100057902	0.00546152347258324	1616.59605644744
al2_14	0.318229864235046	0.28134489935186	0.355535889657037	0.0192642507993943	1593.04848645731
al2_15	0.0658299185482629	0.0494064692650284	0.0822157339781866	0.00848772374322875	1581.69495928813
al2_16	0.250911864736846	0.202059392949494	0.30092052442379	0.0258655255861657	1801
al2_17	0.271740215794873	0.254112202518283	0.288870487386807	0.00875153826136226	1801
al2_18	0.583857316787149	0.533301855940185	0.629219993119866	0.0248159963691392	1801
al2_19	0.30314940387665	0.273234975993301	0.336297375399435	0.0158657585476302	1712.73610562415
al2_2	0.390363900664572	0.345832038467344	0.430845807542044	0.0220861206574905	1743.25301416482
al2_20	0.217832002717441	0.17880939117535	0.257789406906839	0.0202179454922533	1801
al2_21	0.640267178288405	0.603955104232306	0.677707246829579	0.0188680382650989	1736.89045441308
al2_22	0.178576755690589	0.168208245962659	0.189500263794486	0.00555511859066602	1720.39917440819
al2_23	0.291633040037777	0.271954508290396	0.313848554329925	0.0107004670876489	1801
al2_24	0.256190068398514	0.203959082829948	0.305912755227037	0.0264783767116591	1801
al2_25	0.168638864258973	0.148194098189359	0.188022883736267	0.0103545507644511	1605.20193745593
al2_26	0.333595908784645	0.284378361596822	0.381089138597661	0.0248668458289121	1801
al2_27	0.118356604179895	0.0911996556313056	0.147827710886747	0.0147586669662122	1801
al2_28	0.165010895274799	0.140229305641744	0.191535251931518	0.0132333440891867	1801
al2_29	0.122224222015825	0.104757206515985	0.140323204950204	0.00921792055187278	1690.08967011976
al2_3	0.404352959760446	0.387010346450764	0.423012697005123	0.0094773588041428	1384.50235690652
al2_30	0.240998775750203	0.191900414170238	0.291072383114976	0.0252489162999108	1665.71147852535
al2_31	0.289637945661605	0.273388532515086	0.305569547428254	0.00839212353810104	1801
al2_33	0.123036728019753	0.0873106962545741	0.1570866690133	0.0179896688325152	1801
al2_34	0.00960308927583638	0.00751184590392911	0.0117022021310866	0.00107861594623532	1801
al2_35	0.213852230090213	0.201321662113239	0.2274625135012	0.00676266761340601	1730.32455106186
al2_36	0.114165665426462	0.081410375567688	0.142990999948839	0.0156963055719838	1801
al2_37	0.484305705853095	0.464528265922886	0.506439094032663	0.0108408054896344	1801
al2_38	0.218022630891754	0.172720243385088	0.266721667817459	0.0243222692596378	1801
al2_39	0.660874448656739	0.645041191836231	0.676127066026125	0.00814022980088554	1492.47924204168
al2_4	0.217302217057984	0.200180562643562	0.235729402033693	0.00900865271106827	1579.00673598508
al2_40	0.227410514466913	0.194578257130842	0.258507980808063	0.0165628760890131	1760.22920975497
al2_41	0.120214622709512	0.0964574154563305	0.143139664781726	0.0118517137607986	1651.88334737533
al2_42	0.234202476352668	0.196665851267257	0.271487316145304	0.0196744992396965	1787.84283115529
al2_43	0.205483341671373	0.159454709157438	0.250611982328814	0.0239487441370871	1801
al2_44	0.27254271222537	0.248723363871478	0.297988726578043	0.0123728587506311	1776.77708759566
al2_45	0.277417208003409	0.236464753342227	0.321404852802207	0.0220247750906751	1666.33249262497
