simulation	true.val	mean	HPD95.lower	HPD95.upper	stdev	ESS	is.in
al2_0	0.19891448033387898	0.187692043727139	0.170837490985468	0.203730888225624	0.00837693399034494	1801	TRUE
al2_1	0.17751942230727957	0.170481140034784	0.12609357802531	0.206937656594614	0.0210775133295643	1548.04694914452	TRUE
al2_10	0.24375490458003174	0.225992829908128	0.175298248991687	0.280145745521556	0.027364037223475	1801	TRUE
al2_100	0.40661200171598383	0.409916577531381	0.382526318529758	0.442281277958225	0.0150634028549236	1372.42470815873	TRUE
al2_101	0.39915594487368183	0.39465444864896	0.356698331407932	0.433370402995444	0.0199070918381167	1801	TRUE
al2_102	0.1492274619789722	0.146308118196874	0.138632252362632	0.153888152970045	0.00392445290236163	1727.22176705922	TRUE
al2_103	0.20381283108737266	0.203382447735488	0.177623485638992	0.226131331051568	0.0124886990853499	1622.26999680798	TRUE
al2_11	0.302149531773774	0.285542669563225	0.245277824191654	0.329488787266472	0.0222056678650884	1801	TRUE
al2_12	0.23671385321842045	0.250402438278408	0.22523639561399	0.275328502496188	0.0128693740202197	1801	TRUE
al2_13	0.3458600708251245	0.337329028471797	0.322209833151553	0.351568286657963	0.00749850972902005	1801	TRUE
al2_14	0.28730121121623453	0.310151664313046	0.274057775918521	0.346782293492754	0.0190372776605567	1801	TRUE
al2_15	0.28568269521650497	0.256314004898018	0.222437742981417	0.287405120660381	0.0164711172798168	1566.63425023479	TRUE
al2_16	0.3075083007971013	0.272418208195784	0.221638556533509	0.327436910062106	0.0270276717857989	1801	TRUE
al2_17	0.16301324279828033	0.161712984208831	0.150002321071484	0.17527830919097	0.00639539706118336	1697.14292273881	TRUE
al2_18	0.13922837900375223	0.142525964525417	0.111261370762714	0.177198313659359	0.0169075668437323	1801	TRUE
al2_19	0.04648992517981169	0.0426189269556667	0.0321089371078712	0.0522722956544579	0.00520820771307446	1712.74298963064	TRUE
al2_2	0.10502951523392769	0.10282457708505	0.07908134128117	0.127653820794396	0.0125216208282756	1801	TRUE
al2_20	0.05488963027996669	0.0580695429069786	0.0410027372907672	0.0786549053577236	0.00947703825633214	1575.31480358245	TRUE
al2_21	0.1288229454230041	0.130695441546455	0.109815621530049	0.153597553677831	0.011508397699845	1801	TRUE
al2_22	0.11934851072524928	0.117052185807085	0.108633313011759	0.124978885319549	0.0043404149527377	1694.44151178415	TRUE
al2_23	0.2823774124044937	0.278236123820618	0.259497964029461	0.297189344793317	0.00989652234575934	1801	TRUE
al2_24	0.2239861199805851	0.21743689827008	0.168964947153084	0.268980161895662	0.0256856659318173	1801	TRUE
al2_25	0.1105639706184473	0.10468776206739	0.0909106287871319	0.118391737318726	0.00717647048942124	1801	TRUE
al2_26	0.4184981438586852	0.420950328835775	0.370269226886352	0.471298638408566	0.0259760283030726	1733.72979267149	TRUE
al2_27	0.28471629518007674	0.345038510307657	0.297476280498198	0.389110922030529	0.023475815490171	1801	FALSE
al2_28	0.388943060271924	0.381869221809361	0.346466003509924	0.421523580010448	0.0194795233802571	1801	TRUE
al2_29	0.46441089669281654	0.427710035107187	0.392687104720401	0.466687883232806	0.0193173735261582	1801	TRUE
al2_3	0.16290051096131236	0.171593816561919	0.159403394209131	0.183963770172346	0.00638368853385868	1801	TRUE
al2_30	0.19389488512332256	0.214642318768828	0.165283455395696	0.262057661665116	0.0245029335309233	1801	TRUE
al2_31	0.3179526332059485	0.316141084814908	0.299020406744519	0.332577569065214	0.00865856570730147	1727.83638483759	TRUE
al2_33	0.09697639077877222	0.102063565490832	0.0703817511069932	0.13690592944002	0.017169467016767	1424.40032698667	TRUE
al2_34	0.2447380070910347	0.237043657045393	0.223577217592853	0.250720378442624	0.00695250150403101	1800.24084758701	TRUE
al2_35	0.02181499567673592	0.0238349208067131	0.0199311068203385	0.0277694882803361	0.00199800127859614	1781.49095091822	TRUE
al2_36	0.5457459796390213	0.530942347348995	0.474193853647415	0.580118829741934	0.026726285528405	1753.55412401774	TRUE
al2_37	0.13650957963636295	0.128402950845787	0.116023184366135	0.141652742403263	0.00669576687448837	1801	TRUE
al2_38	0.32445916014708087	0.288051383288612	0.240744000856931	0.339247529363228	0.025694972372031	1539.78364953996	TRUE
al2_39	0.19802743249475846	0.19910749650108	0.188539799967386	0.209742893949544	0.00538659351770242	1732.47142591054	TRUE
al2_4	0.30605811698425645	0.323756805202549	0.304288625807165	0.347018359203442	0.0108495342661715	1586.16756175418	TRUE
al2_40	0.18166334937915704	0.179594400476028	0.150336693583036	0.208191526379282	0.0147403024064622	1801	TRUE
al2_41	0.0709024356503044	0.0591565817544099	0.0458412261751143	0.0754806880157218	0.00764769698958925	1801	TRUE
al2_42	0.26163014805176316	0.290687873405059	0.248488214241682	0.329735171768137	0.0208745820352156	1713.13441812165	TRUE
al2_43	0.5055198149960737	0.477523237682901	0.415032136185995	0.533351381451477	0.0296399370988233	1614.90707794337	TRUE
al2_44	0.3179388585594586	0.324939798776597	0.300691432059263	0.351710419589842	0.0130410342477536	1748.40139651759	TRUE
al2_45	0.17589156972471998	0.184023079793289	0.145684120851652	0.219684621420632	0.0186273744599335	1801	TRUE
al2_46	0.09947877314775536	0.109866395415291	0.0909265961587574	0.130619028601841	0.0100534432533439	1116.74799113283	TRUE
al2_47	0.46387699352899786	0.400437298445462	0.350340825144572	0.460771905472436	0.0285619280497431	1801	FALSE
al2_48	0.08060060847676896	0.0809941121948814	0.0731626354745675	0.0881665604868838	0.0037960558109801	1743.92331959311	TRUE
al2_49	0.10643114761958687	0.116425267479945	0.0967555318735116	0.136960921463117	0.010294110276226	1398.44022948981	TRUE
al2_5	0.2997080712350508	0.309167421563466	0.288701641224989	0.330185054898153	0.0108244879346182	1801	TRUE
al2_50	0.5105479600006411	0.507492346528453	0.497552627138161	0.517752555755897	0.00506544055570642	1670.71044922963	TRUE
al2_51	0.08322836624765895	0.0699836094722527	0.053698631991387	0.0866966515052818	0.00861726056329559	1366.77690997923	TRUE
al2_52	0.5306927794693399	0.50697488191697	0.456256644582894	0.554686011284146	0.025002300812367	1801	TRUE
al2_53	0.20721497051623589	0.194306876646628	0.180287610274965	0.208336967604037	0.00725349509165978	1723.07788184883	TRUE
al2_54	0.2662741508851508	0.241188132903915	0.194539988061437	0.286801631860888	0.0241316621196695	1684.82620404939	TRUE
al2_55	0.07566005969096189	0.0738453338599577	0.0690081533970554	0.0783076736900713	0.00241038827590331	1671.30931728569	TRUE
al2_56	0.3358351183472852	0.38451972949504	0.327533360460439	0.439452802543344	0.0293562616695986	1801	TRUE
al2_57	0.09367765354174015	0.104892649804674	0.08613058583297	0.125247504545113	0.0104164909696049	1801	TRUE
al2_58	0.4988641606536316	0.497227775250783	0.489882240560603	0.504537756755246	0.00380176577724756	1620.70630068099	TRUE
al2_59	0.14790029605237118	0.150159460487044	0.131257058977873	0.166776462407454	0.0089293363045119	1771.36332644428	TRUE
al2_6	0.29511428505323667	0.293804997233721	0.244714228178936	0.343508565113706	0.0253878482002216	1716.15668528011	TRUE
al2_60	0.29764296209462265	0.280893589243349	0.228277358930435	0.331702692328937	0.0261752828200702	1801	TRUE
al2_61	0.32147206069182394	0.322238688764784	0.314767291607781	0.329470572907945	0.00388046247009921	1801	TRUE
al2_62	0.18247682463913004	0.186372562615166	0.176342399574299	0.194796139729107	0.00472381314202683	1783.62047669179	TRUE
al2_63	0.419658252469943	0.417361843124658	0.362170672323497	0.473842745222593	0.0290404530532423	1801	TRUE
al2_64	0.36093641989751646	0.411207068395743	0.351126474731554	0.471046275392346	0.030767905450195	1801	TRUE
