simulation	mean	HPD95.lower	HPD95.upper	stdev	ESS
al2_0	0.373400129945911	0.345841033587026	0.399409179728507	0.0140522814645318	1680.04843524082
al2_1	0.155977815255816	0.130025327847062	0.181322516452125	0.0130763164729576	1758.28879560699
al2_10	0.0477988369434998	0.0329845143826003	0.0670241065988776	0.00882694683615133	1567.30172498111
al2_100	0.229528342375353	0.195354378837813	0.265259041514653	0.0179318447163715	1801
al2_101	0.234972374078386	0.203085618331676	0.270145682635289	0.0172333285886275	1801
al2_102	0.0993401544208449	0.0913163517101117	0.107775077358408	0.00424779569157373	1801
al2_103	0.203252198871699	0.177751257041729	0.231732070514117	0.0139944374493682	1794.07379560812
al2_11	0.39489440463048	0.357803083613392	0.436894116114967	0.0199768424323384	1762.4220493148
al2_12	0.494420230230338	0.453665568026502	0.539925165270404	0.0221326472534421	1801
al2_13	0.0822191084518234	0.0762428720697263	0.0875455758842631	0.00297286876501109	1801
al2_14	0.214500440703223	0.181724931352596	0.247496249904804	0.0167930724621843	1765.52482844645
al2_15	0.261207313481048	0.204529962485879	0.317520269414023	0.0282489067342076	1801
al2_16	0.310638374350882	0.26729697768847	0.355363500567548	0.0229725198518385	1637.35510779529
al2_17	0.13381985252233	0.116781768338249	0.148422634565764	0.00815185883466456	1801
al2_18	0.181734056825089	0.144306078276303	0.228187244469067	0.0215806208437447	1765.30083182334
al2_19	0.076568217822921	0.0591426789983517	0.0950240221737708	0.00932362083540303	1681.15323040392
al2_2	0.255794185192709	0.21488770077839	0.298435856991807	0.0216649619919603	1801
al2_20	0.335549829627858	0.298377667696165	0.368868688248612	0.0180995556567996	1713.67240033179
al2_21	0.353104235901481	0.294034058979051	0.406049289157574	0.0286460685010229	1763.25279005015
al2_22	0.178136585391254	0.171619730002663	0.184986284851753	0.00347628277938663	1801
al2_23	0.210761034737804	0.173921298785017	0.246415154639495	0.0185435712549131	1801
al2_24	0.516474097076342	0.4656971267071	0.57227315517667	0.0275594009777573	1801
al2_25	0.163777463765266	0.14906908431534	0.177846650416	0.00740170381917466	1523.33399086144
al2_26	0.133947782253787	0.102901928004833	0.169084398568241	0.0168408676072804	1801
al2_27	0.0220745538150343	0.00824140032451723	0.0392923760013988	0.00825284726856106	1801
al2_28	0.411118361979452	0.360088680911504	0.462111126606553	0.0264159363405036	1790.26417455172
al2_29	0.515508782930384	0.484903172606725	0.552384011835303	0.017577960817491	1801
al2_3	0.231975610886261	0.201175923131859	0.264977494570117	0.0165283339611108	1690.5905361612
al2_30	0.232500271832747	0.187022614590502	0.283140690753165	0.0251010274052201	1393.86759751522
al2_31	0.2896575908014	0.272619821805374	0.304328929113181	0.00813834991550221	1801
