simulation	true.val	mean	HPD95.lower	HPD95.upper	stdev	ESS	is.in
al2_0	0.8752990462617615	0.900000586101977	0.854852040556035	0.949378577277931	0.0241676010195703	1801	TRUE
al2_1	0.719997181648246	0.747827578991629	0.659927837864752	0.837198939997071	0.0458959677993156	1801	TRUE
al2_10	1.8137904201410326	1.93478515131782	1.78670096242273	2.09921443043435	0.0813004975099029	1801	TRUE
al2_100	2.5679349947310723	2.56697305083211	2.54022669742586	2.59292188491403	0.0134216486508637	1801	TRUE
al2_101	0.6692572219645437	0.69723339827739	0.620292536770977	0.781549126418041	0.0412841098885432	1714.47744581571	TRUE
al2_102	0.5991825771318326	0.603761561238311	0.581191728480187	0.626984550429918	0.0117653594953744	1801	TRUE
al2_103	0.8705264266318292	0.836785616067118	0.772591650760182	0.903292780787655	0.0333349475794773	1801	TRUE
al2_11	0.05971605530871996	0.0614091773150743	0.0326741507841137	0.0905984531221508	0.015592530786251	1801	TRUE
al2_12	1.339185608550339	1.35550929395808	1.28625881348953	1.41971197580318	0.03454491457061	1706.61786397845	TRUE
al2_13	0.7076476314093646	0.719760938244583	0.695046783657002	0.748520085603402	0.0136452212831684	1693.53162885889	TRUE
al2_14	2.368338589922682	2.37795382708756	2.33678329412662	2.42376090265794	0.0224998348503651	1485.06222666387	TRUE
al2_15	0.1653601487539735	0.139038153657832	0.0889844763677682	0.187191118688423	0.0261485232740813	1775.53967684916	TRUE
al2_16	1.9914616569697765	1.99143825792457	1.88466617561989	2.09880138344182	0.055003868097966	1788.50169659395	TRUE
al2_17	0.5204270643190525	0.497254848972207	0.466425765179724	0.528201338543733	0.0159708623836315	1801	TRUE
al2_18	1.4900695763032528	1.51857487066513	1.38951265753982	1.6445177503736	0.0651549837748606	1703.65577471199	TRUE
al2_19	1.441851136654928	1.4502042623164	1.38882124083672	1.51174793366199	0.0314846099718558	1801	TRUE
al2_2	1.3960999142272652	1.40605521045279	1.30917380130058	1.50712283716694	0.0502527925128902	1798.68598907494	TRUE
al2_20	1.1555840160119815	1.11832202738029	1.04187466442111	1.19152296557236	0.0392485836447064	1760.92609450497	TRUE
al2_21	0.858501487907163	1.00044368420629	0.895382717848051	1.11316365594585	0.056773690991572603	1801	FALSE
al2_22	0.44587309954738075	0.44896100409766	0.429361460876283	0.467261936133782	0.00966949015681276	1801	TRUE
al2_23	0.746777590184585	0.7623634614663	0.706624787694852	0.819502808422811	0.0300367817485115	1440.34821241494	TRUE
al2_24	1.3619369490133426	1.3745477619300699	1.18182326309184	1.56853628795505	0.0984330519613297	1801	TRUE
al2_25	0.8204519898496678	0.831804728889822	0.790745167539157	0.868443036457052	0.0197918981511377	1801	TRUE
al2_26	1.3215930452793383	1.30841784536076	1.17973229942922	1.46129964660171	0.0709417585089467	1766.85042354653	TRUE
al2_27	0.9359983891714837	0.978448420449735	0.849695479038771	1.12147831261965	0.0708202445231356	1572.0438970732	TRUE
al2_28	1.205507586138413	1.17198069014994	1.07717929314878	1.26299162710727	0.0477670842382376	1792.90896099025	TRUE
al2_29	0.11185790655967942	0.111576405031251	0.0797645380960112	0.141710123500763	0.0158912202554833	1801	TRUE
al2_3	0.6673450318758917	0.640360371564352	0.601815398576611	0.680085379487099	0.0201855162130038	1801	TRUE
al2_30	0.7455585247433091	0.747952226948249	0.558577223928511	0.92442242756747794	0.0954158573638788	1740.91464140898	TRUE
al2_31	0.47509591483881447	0.473333384049683	0.44762965847251	0.497970395789981	0.013040440974226	1801	TRUE
al2_33	0.379806789857112	0.383034107731016	0.279336201553375	0.483656871743875	0.053174612100802	1801	TRUE
al2_34	1.7128229282154894	1.70739969071419	1.67722069622602	1.73776940506506	0.0154108995614588	1529.46095740946	TRUE
al2_35	1.7274680720779099	1.72963871200266	1.70382240176911	1.75940329994347	0.0142951890751068	1801	TRUE
al2_36	0.5858413720734518	0.653579510450354	0.5140925743653	0.794786474072367	0.0739541188886982	1801	TRUE
al2_37	1.9596815732114279	1.96517125678585	1.92233270168958	2.00745376139119	0.022214123700781	1801	TRUE
al2_38	0.8121219465140254	0.898684978900361	0.78587318519854	1.01658344376999	0.0603081075231931	1801	TRUE
al2_39	0.6966190272003228	0.67860542435634	0.651949547141412	0.704734733817642	0.0136126340306783	1767.77725953995	TRUE
al2_4	1.1720154923658974	1.19051513985124	1.14792747547862	1.23614777179162	0.0227936956899976	1801	TRUE
al2_40	1.261359925085832	1.2486864838445	1.14625015289764	1.33958774730464	0.0497870730569235	1607.83877077767	TRUE
al2_41	1.1313836554910022	1.14592205647529	1.08441006347266	1.20171309108903	0.0301017185349968	1801	TRUE
al2_42	1.3180015009547965	1.34572002644179	1.21910366055301	1.46854782958224	0.0637508026351693	1801	TRUE
al2_43	1.3136042355049404	1.32182191737214	1.11640076196986	1.53220905288852	0.108354147954319	1801	TRUE
al2_44	0.6719284413107862	0.619782494342965	0.561206009331833	0.679456084794987	0.0303284293869038	1787.66614719445	TRUE
al2_45	1.7895818391349219	1.78435453944229	1.68201642438358	1.88587177748897	0.052240373375985	1801	TRUE
al2_46	1.2854051327579812	1.30211084974527	1.22294024507081	1.38045401332753	0.0402261604160291	1801	TRUE
al2_47	0.3255446173696543	0.272241724046499	0.232265522608006	0.313312063593712	0.0213646272464809	1801	FALSE
al2_48	0.36405638357080633	0.389823390300877	0.35235153485619	0.434359367365892	0.0207611322406619	1714.3604561874	TRUE
al2_49	0.6167147540734569	0.658544027026466	0.593675746607924	0.719560038130908	0.0318118375544168	1728.60460798748	TRUE
al2_5	0.41100792335969744	0.403274253956071	0.368733089530635	0.43713043679395	0.0177724756881417	1801	TRUE
al2_50	0.9103416541915023	0.919247942145406	0.892817040780344	0.94801719488748	0.0142771523584541	1782.04690571702	TRUE
al2_51	1.1791725355850124	1.19613063056083	1.11413911905737	1.27233390861178	0.0407596240066292	1801	TRUE
al2_52	1.0081670856995402	1.01275169606193	0.898311955731171	1.1381374765172	0.0609706861037252	1298.18342805385	TRUE
al2_53	0.5027237566526691	0.507568066236151	0.482884592256095	0.535904311339133	0.013530072618388	1801	TRUE
al2_54	1.8658270274486812	1.87731809468215	1.76473781491391	1.97048112637231	0.052691287709592	1801	TRUE
al2_55	0.8199741211442123	0.786201813024073	0.760464163281	0.808841415141115	0.012605209213834	1733.9580536262	FALSE
al2_56	1.1488256554104073	1.21306451706471	0.959559744710803	1.48040529526333	0.135611629695553	1801	TRUE
al2_57	2.063145983908019	2.00438037765592	1.92231152006113	2.08213466122287	0.0414513016578957	1683.7934321687	TRUE
al2_58	0.32210025909657003	0.320258757900964	0.303181422263751	0.336887632982541	0.0087255217433452	1639.10620209664	TRUE
al2_59	0.737224503562686	0.746811387859715	0.692280679042573	0.799002417672877	0.0276781797264824	1801	TRUE
al2_6	0.5955441988020213	0.503600252045467	0.373151550938132	0.660323551361917	0.0728478086642221	1801	TRUE
al2_60	1.0934913080121473	1.11087184129669	0.955519520288306	1.25507693821755	0.0772707582330967	1618.0197613089	TRUE
al2_61	0.2176945308125987	0.212975774897947	0.201918603721691	0.22352599791676	0.00559384053498602	1656.24666343743	TRUE
al2_62	0.7736147780746065	0.764593569069315	0.742074282710931	0.78784484108678	0.011997141859941	1801	TRUE
al2_63	0.46324112745747426	0.488177365865412	0.347014179746825	0.622739144916671	0.071431735683215	1744.33477864737	TRUE
al2_64	1.9098672085305566	1.79239309744296	1.61524029997944	1.96745003511328	0.0922010057446892	1801	TRUE
al2_65	0.8242306020206345	0.923313539176426	0.811815625345159	1.04025965220424	0.0585674300976063	1801	TRUE
al2_66	0.6018878037300254	0.672960856603877	0.574356690507353	0.768081959091669	0.0493158860855823	1776.3126932237	TRUE
al2_67	0.9674678982067334	0.828140445695031	0.652953101443465	1.01685840605189	0.0924202325044311	1801	TRUE
al2_68	0.929849786936411	0.952136971661462	0.914188127780092	0.986130467550171	0.0181402096322015	1749.13767318309	TRUE
al2_69	0.07665451841089524	0.168999292382252	0.0721767300421809	0.289812517651259	0.0596519684195803	1801	TRUE
al2_70	0.9021325807658377	1.06254883759632	0.756058338073497	1.39427310314309	0.164411920843718	1527.97714239313	TRUE
al2_71	0.5787588055468282	0.551897868493466	0.498449968536461	0.605893647288232	0.0274073197626936	1652.38650379927	TRUE
al2_72	0.3534995959536114	0.357391144639705	0.27841747283322	0.440983836001131	0.0421136059742295	1692.1226661629	TRUE
al2_73	0.5848732648468432	0.577948734720754	0.550508151824719	0.605863178277324	0.014268654747649	1353.16520551442	TRUE
al2_74	0.4770094280405264	0.419533101965959	0.321181962109156	0.512689171038138	0.0501262859668215	1801	TRUE
al2_75	2.348097146590011	2.3581249405566	2.2538971131017	2.46196539763109	0.0537986641380302	1742.18161243579	TRUE
al2_77	1.2116875650711476	1.0634197050995	0.913069245692582	1.23152475364702	0.0814890340042367	1696.55417345816	TRUE
al2_78	1.3723863133292589	1.35427618434471	1.18246454176964	1.52745764136036	0.0911482510911238	1799.22719160416	TRUE
al2_79	1.162207053307658	1.16468271766064	1.12648742095689	1.20231295054706	0.0193833369861564	1700.97719370684	TRUE
al2_8	0.5835676139336811	0.539231512194146	0.475128117155063	0.608059657080243	0.0332389820481596	1801	TRUE
al2_80	2.037604106276822	2.03565402524892	1.9922624752383	2.07803719893921	0.0218617109073439	1764.04646431263	TRUE
al2_81	1.4443542960734785	1.40598496499155	1.35998884419911	1.44767068482628	0.0222731170019785	1408.99995030539	TRUE
al2_82	0.856430847639205	0.860688624114779	0.749440892638981	0.974293534354358	0.0578199607810449	1801	TRUE
al2_83	1.0173582737955225	1.04349514672329	0.971367684356565	1.1160811127824	0.0370136738855147	1801	TRUE
al2_84	0.286339504995409	0.342935413470031	0.263894101597583	0.436232742277174	0.0458795212203191	1645.04746723344	TRUE
al2_85	1.7964473068141362	1.82614403511078	1.58438403713954	2.06040359559678	0.122193586825948	1801	TRUE
al2_86	0.47141328555805173	0.441854349877879	0.399250388345867	0.491567788252415	0.0243461671074826	1801	TRUE
al2_87	0.5441127517187175	0.560666145929217	0.539983667380994	0.580852455190493	0.010569212922689	1801	TRUE
al2_89	0.614864244236571	0.54018367115713	0.404011791468238	0.673075753942328	0.0696808485445717	1776.62698413051	TRUE
al2_9	0.680992987288561	0.682927646771747	0.658727704474483	0.709119896652127	0.0131082569563861	1801	TRUE
al2_90	0.8054789901697795	0.815842402156137	0.640773620645416	0.982705089389643	0.0892922834660442	1801	TRUE
al2_91	1.3165731251032138	1.31240040012679	1.25731864213476	1.36825443229851	0.0284585923154125	1801	TRUE
al2_92	0.8166617627772906	0.760565208156184	0.629860872952044	0.898152168691162	0.0697086317059327	1801	TRUE
al2_93	1.691038966000311	1.66214361102804	1.63125175511985	1.69001862966223	0.0147543647865829	1801	FALSE
al2_94	1.452941219969912	1.41721609130347	1.35507391249351	1.47932999167935	0.0315932899268397	1719.363003577	TRUE
al2_95	1.4273268520632698	1.45030569234183	1.38868347041058	1.50501301418249	0.0302759972750624	1741.88310857634	TRUE
al2_96	0.551144615681362	0.592648623697607	0.400646190500953	0.778711817417987	0.0968581140495838	1614.0338775101	TRUE
al2_97	0.8258058352723325	0.825301126483482	0.780742524524162	0.875363857411544	0.0245170287731052	1683.12363098312	TRUE
