trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	psi.height	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
mean	-16990.9334002213	-16496.8763394579	-494.057060763412	0.167981070833719	0.162583108714478	0.332786528910936	0.336649291540869	0.390876640966168	0.18111073435605	0.238157280431784	0.189855344245998	0.378806177002485	0.138388377107315	0.329265127231367	0.153540318658829	2.53139043483007	3.08912520538525	3.13886558776897	2.21104894281967	0.664892750927484	0.129825205980567	0.0140220231546373	56.2537928521774	-10631.3612945246	-4493.54413408262	-1371.97091085067
stderr.of.mean	0.288943415435943	0.232436405953168	0.157805510540483	0.000181961066820465	0.00015596226458609	0.000229529518362392	0.000238802306243027	0.000387004320400158	0.00032769232252691	0.000330240752377506	0.00030523657032791	0.000581031935011305	0.000416565056514571	0.000599136104400611	0.000447785209251828	0.00265309871368818	0.0386644582859013	0.0384871776917021	0.000658971149352335	0.00060016183368896	0.000245155183588226	1.27501904577505e-05	0.0567290541540599	0.227410657904208	0.162194814549621	0.0673589829919821
stdev	9.21542045027734	8.46230675157527	3.89963297973777	0.00701594828869774	0.00661691747275261	0.00947931232060048	0.00985705024279339	0.0158212672992621	0.0122843429695157	0.0129917473837676	0.0125197817148429	0.0246510934757641	0.0174897559609351	0.0244026589878263	0.0189979145468427	0.0944811966041662	1.64039378554467	1.63287240808551	0.0246590695151797	0.0227292400379098	0.0104010519603951	0.000376034835536317	2.28451960346521	8.52814336626288	6.22787694608378	2.81216062261394
variance	84.9239740753898	71.6106355577565	15.2071373766585	4.92235303896807e-05	4.37835968412188e-05	8.98573620714881e-05	9.71614394889532e-05	0.000250312498954699	0.000150905082192691	0.000168785500083632	0.000156744934187313	0.000607676409550862	0.000305891563573066	0.000595489765676141	0.000360920757129137	0.00892669651175511	2.69089177165356	2.66627230108697	0.000608069709354464	0.00051661835270092	0.000108181881882839	1.41402197536825e-07	5.21902981861685	72.7292292755336	38.7864512555618	7.90824736738039
median	-16990.4636001329	-16496.5904505706	-493.907430893735	0.167749875045867	0.162589512566449	0.332865911214911	0.336583174864648	0.390520661798477	0.180902910812696	0.237847999478521	0.189634539034096	0.378414024209915	0.137369977445917	0.328758387745622	0.152718423622015	2.53074682418547	2.71413677956695	2.81602601833832	2.21100769341817	0.664971224006122	0.129381785303913	0.0140158224034847	56.1358535195556	-10631.3598303913	-4493.36453832726	-1371.79252014381
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.167834904254202	0.162448268273671	0.332651175836703	0.336505142440949	0.390556249945484	0.180694650424374	0.237803865624082	0.189442024465998	0.377999581119717	0.137282540764097	0.328361840387204	0.152363618991945	2.5296304413007	2.72530251414182	2.78180155303154	2.21091148945212	0.66450333463659	0.129410357301728	0.0140169861940238	56.2075948465563	NaN	NaN	NaN
HPD95.lower	-17013.4032190195	-16512.4338470546	-501.397992212545	0.154663118034203	0.149983302706779	0.31437869572449	0.31789374711279	0.361142651475995	0.159253814244173	0.213272473967373	0.16436960640195	0.330207408619427	0.106509405158669	0.285353535254666	0.116801208286999	2.34836646494662	0.77517651333582	0.765737399387424	2.16072268871339	0.623032530996475	0.109408118307829	0.0133616002188435	51.7492078339951	-10648.3519079996	-4506.78573407162	-1377.75707694955
HPD95.upper	-16976.1804672752	-16479.2683592107	-486.419575090464	0.181684488009869	0.175681839740548	0.351044238275967	0.356031339593993	0.421570108308988	0.207057847554438	0.262951831131456	0.212854726733319	0.424845025668466	0.173613186965034	0.379803531319131	0.188705372453203	2.71322979053909	6.53108273490214	6.27472174561078	2.25437950023591	0.711220652157845	0.149957692164682	0.0148331482336642	60.581860830961	-10614.510494814	-4482.22014907994	-1366.83000329774
ACT	17695.696702444	13580.1055653401	29476.0463705232	12107.5580810716	10000	10553.4825621952	10564.6585208156	10770.1428068532	12808.5815515428	11630.5048401655	10699.2167923471	10000	10211.0533322371	10850.4825219839	10000	14193.464609254	10000	10000	12854.399799086	12549.8717653542	10000	20694.2435731691	11099.2511382891	12799.2645305794	12208.6110000427	10327.2138078124
ESS	1017.7615667154	1326.2047127208	611.00460263933	1487.50060742272	1801	1706.54567284884	1704.74038176576	1672.21552424913	1406.08856082356	1548.51403679427	1683.30078262197	1801	1763.77494211504	1659.83401784302	1801	1268.89385332019	1801	1801	1401.07669603373	1435.07442440323	1801	870.290326695035	1622.63199342079	1407.11210061885	1475.18829127548	1743.93600589306
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07
log.every	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
