trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
mean	-19845.4416083111	-19168.2765369645	-677.165071346619	0.0831037674114862	0.121068674405963	0.438364780551613	0.357462777630935	0.360437650282022	0.0949347046439371	0.387769981116768	0.156857663957276	0.112525324857431	0.144088157841376	0.727419801582399	0.0159667157187983	4.3685774330868	2.90025991261544	1.06666602810211	0.54747991221281	0.428967682777779	2.02139754744853	0.0088743193494579	70.7742332955735	263.22981610422	1308.54135697056	-4914.61837309105	-4213.24168543404	-10040.4164784394
stderr.of.mean	0.281813066747912	0.218792272793787	0.209199723939435	0.000157834637300338	0.000182578301775681	0.000438546174396287	0.000395514641172482	0.000347760701810983	0.000219323813583668	0.000355775958188017	0.00029272506488643	0.000111469090868393	0.000132686319794971	0.000183666462483115	3.75818667447646e-05	0.00755558856470082	0.00609730557106342	0.00140114616268385	0.000464146019620797	0.000389400246987352	0.000590992744163473	1.0344366091457e-05	0.179816490911834	0.68956703074643	1.96306122248714	0.122636455007671	0.120585564914433	0.170271742563396
stdev	9.7002307961182	8.59759682255207	5.00497635815263	0.00643781428711614	0.0077461401215942	0.0160013193665359	0.0144866654098396	0.0147542347519557	0.00930511991566672	0.0150942932277065	0.0124192707877134	0.00470804274547214	0.00547009803634193	0.00678715155347992	0.00159446332343313	0.320556425128733	0.250323462710602	0.0594455880103316	0.019325759423831	0.0165208507649138	0.0246754529756277	0.000284516719930973	6.71996713606901	29.2558468966161	68.1675999476468	5.2030233344603	4.68748896790466	6.82569583246246
variance	94.09447749796	73.9186711231575	25.0497883456667	4.14454527953967e-05	6.00026867833713e-05	0.000256042221469877	0.000209863474696644	0.000217687443115818	8.65852566449374e-05	0.000227837688043987	0.000154238286898552	2.21656664931929e-05	2.99219725271919e-05	4.60654262099049e-05	2.54231328977341e-06	0.102756421691313	0.0626618359834264	0.00353377793389408	0.000373484977307792	0.000272938509996553	0.000608877979552415	8.09497639202795e-08	45.1579583098476	855.904577638242	4646.82168262242	27.0714518189384	21.9725528242279	46.5901235972954
median	-19845.1361394238	-19167.999637252	-677.027915329949	0.0829900434956304	0.120756282697848	0.438563752174268	0.35743789556883	0.360274034970447	0.0949692814268413	0.388162527920126	0.15658774913373	0.11247416592367	0.144047933061888	0.727252432241653	0.0159082998495886	4.36004693584666	2.88514345132172	1.06617700484851	0.547322181861501	0.428876620294906	2.02151040676525	0.00887300411140137	70.3233814182464	261.081965002059	1304.04758760071	-4914.36496696169	-4212.92627760384	-10040.1589602735
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.0828536308350208	0.120821666873211	0.438072481595842	0.357168140213161	0.360135134739146	0.0944784124604384	0.387475240888706	0.156363306001423	0.112427044187793	0.143984528310975	0.727388149766944	0.0158871113563495	4.35684231645393	2.88952366986274	1.06501266477911	0.547138983437348	0.428649752085772	2.02124695851826	0.00886975971141492	70.4582932084573	261.640940755105	1306.78434483688	NaN	NaN	NaN
HPD95.lower	-19865.0888781664	-19185.643188113	-686.879214108023	0.0710244777930971	0.107690938727732	0.406162360134184	0.329534868306966	0.332661681517904	0.0764861499956956	0.355601036806627	0.131831349363499	0.103483573028247	0.132544903455137	0.71438230856613	0.0131439831507833	3.76512414415082	2.4706632171042	0.958649402549188	0.508753627391655	0.398074091257449	1.97299879062938	0.00828061432209461	58.7244843688707	205.658315549186	1194.47141398685	-4925.09434234482	-4221.90791709958	-10055.3116533196
HPD95.upper	-19828.002617813	-19151.8768703711	-667.469736943386	0.0965147818758093	0.136731892317123	0.468505093789982	0.384546228537798	0.388855544196561	0.111860766144301	0.414820928118954	0.180469466548446	0.122047675021841	0.153604951408017	0.740190008247332	0.0192585339330956	5.01626350201747	3.40859739311275	1.19027889305738	0.584268842664947	0.460700377660168	2.0674016299349	0.00939575127539571	84.7695861815103	318.906154174438	1459.04746138021	-4904.82769536788	-4203.76204224824	-10028.30344942
ACT	30385.0869767368	23313.7521651729	62895.6370351182	21638.6474524023	20000	27040.9181662619	26834.3226459659	20000	20000	20000	20000	20180.433462841	21181.8771102734	26362.5244566146	20000	20000	21358.717536522	20000	20765.3133823341	20000	20650.7769914387	47587.6812792961	25776.6874065754	20000	29854.7918843753	20000	23823.8800647628	22402.3545042236
