trace	total.br.len	tree.height
mean	112.684385306454	47.6445029092294
stderr.of.mean	0.110141331974321	0.0147778965933801
stdev	3.39408270858615	0.6076542151444
variance	11.5197974327235	0.369243645182756
median	112.536830853705	47.6127184544441
mode	numeric	numeric
geometric.mean	112.633424263105	47.6406399879211
HPD95.lower	105.724934481367	46.5729022298135
HPD95.upper	118.970381279254	48.913977956381
ACT	NA	NA
ESS	950.135479657202	1691.7224974208
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
