trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
mean	-1838.36597252173	-1726.66902046166	-111.696952060079	0.755933554426894	0.0572289313811923	0.164084560043067	0.0227529541488512	0.160958441413273	0.125753450962653	0.553921555487767	0.159366552136311	0.0808408553369697	0.435584365595648	0.13019680584845	0.353377973218935	5.65541689828678	3.05752949827979	3.07789020003228	2.06712757965012	0.797419555879884	0.140534424373078	0.00280084657529322	0.889525127658241	47.0134959642907	95.5049819376471	-837.734624942856	-567.244383344074	-321.690012174725
stderr.of.mean	0.498689453301509	0.216621865488442	0.470545911313132	0.000516615943634438	0.000315492090813185	0.000429426503800839	0.000201298034148356	0.000510916720441111	0.000542200962235969	0.000753387561748491	0.000586827517099093	0.000414674244313228	0.000758273428618531	0.000542713516169078	0.000733986497687096	0.0293986745981424	0.0393141799248377	0.0397182063809436	0.00279116237724266	0.00265239797361359	0.00111529653310732	6.85157082603105e-06	0.00379492222261471	0.017867013489226	0.136929338671009	0.130884112184258	0.177268929000339	0.0484348256404459
stdev	16.5282063018238	6.9363946298331	15.0833131105365	0.0219181548383478	0.0133851937438667	0.0182190207599503	0.00854035098119371	0.021245499671921	0.0207309547536151	0.0309261209515027	0.0234298579109103	0.0175931354932468	0.0321708120375516	0.0230253808981847	0.0311404049832154	1.23993720690712	1.66795913589728	1.68510052406549	0.112450087166716	0.107287251160286	0.0473180171934771	0.00026892567538563	0.132104829991886	0.758033066886554	4.61254583572979	5.55294173956854	4.32331885026687	2.05491530224021
variance	273.181603555647	48.1135704607775	227.506334390481	0.000480405511517789	0.000179163411560848	0.000331932717451502	7.29375948819764e-05	0.000451371256309594	0.000429772484996436	0.000956424957106974	0.000548958241725448	0.000309518416483739	0.00103496114715547	0.000530168165506487	0.000969724822518668	1.53744427707264	2.78208767902322	2.83956377620577	0.012645022103802	0.0115105542615302	0.00223899475112219	7.23210188816175e-08	0.0174516861071852	0.574614130493434	21.2755790867082	30.8351619630425	18.6910858810729	4.22267689938098
median	-1838.36933517231	-1726.08504536843	-111.626375604474	0.756465301803494	0.0564986820569255	0.163838557981333	0.021703184422562	0.159938225616827	0.125185752355916	0.554144183927913	0.159043946888006	0.0802476060438308	0.435369775969982	0.128825699456112	0.353182813199843	5.51724568526528	2.6769793791646	2.75275997406998	2.06996016041271	0.791695625664544	0.13484172053852	0.00279698961772078	0.87641804253099	46.8530301387484	95.2016286354994	-837.352376580044	-566.883167873977	-321.497062970957
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.755615098451799	0.0556444640661111	0.163064863640781	0.0211655369303701	0.159549205286309	0.124030880522966	0.553053300244543	0.157623823030395	0.0789162699832925	0.434391718771662	0.128167644282115	0.351993902496361	5.52471279321661	2.68841161299375	2.71108036393712	2.06403486383048	0.790237574830866	0.132478018829532	0.00278797344580543	0.879895348113247	47.007464586543	95.3946535826291	NaN	NaN	NaN
HPD95.lower	-1869.98972363418	-1739.70347149905	-140.224445177546	0.712018380073526	0.0314413014852323	0.130902589670809	0.00859382531545142	0.1219378408155	0.0861243187778218	0.495846988999911	0.115671262482232	0.0455157160142945	0.376500309075175	0.0888625307479677	0.296072615787913	3.68497003406984	0.722679248868765	0.743864446028258	1.85330248768447	0.609064539961957	0.0538905050962126	0.00230038225036917	0.623402941574782	46.0006129245847	86.847011922118	-848.56518847273	-576.187415772181	-325.973228944221
HPD95.upper	-1806.12026454766	-1712.55212274352	-81.0846430873381	0.796256632567753	0.0829663489273894	0.202367746045482	0.0403890192270076	0.203452263031585	0.165612625880974	0.614348041034626	0.208200957347018	0.1144263272602	0.499580072881464	0.178544976026639	0.414946672768029	8.40274164163097	6.28324036650465	6.25337081121519	2.27620816575772	1.02173621125842	0.233256015312456	0.0033260448240825	1.14522124966868	48.4885558954671	104.354281600461	-826.590488599295	-559.158157427387	-317.920035074084
ACT	40965.7864505997	43888.3623764944	43794.835035757	25000	25000	25000	25000	26024.2793387534	30781.8232529719	26705.3559673995	28228.9035966285	25000	25000	25000	25000	25296.9695499284	25000	25000	27724.4533576625	27503.8517316298	25000	29209.7706303474	37134.7706121945	25000	39657.3793197007	25000	75655.9499031266	25000
