trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
mean	-1777.54112790336	-1714.73734382949	-62.8037840738655	0.47818572729792	0.0819507887724732	0.294745251395059	0.145118232534544	0.165098339741943	0.389134752966875	0.205958930297238	0.239807976993943	0.356429368939437	0.513363118788942	0.0286462867626832	0.101561225508939	1.47528332503822	3.10135787375033	3.02838680988677	0.49657587362051	1.15167063652802	1.34935623210681	0.00242557882424881	0.628317322854628	46.5557075529883	-412.525638857589	-665.992579656818	-636.219125315084
stderr.of.mean	0.711421256295894	0.195337981920291	0.738895391053115	0.000789202142670644	0.000425643059016709	0.000686670153828935	0.000540235405683357	0.000601378183377025	0.000768197397473627	0.000630246844087512	0.000610116648547906	0.000677323536118511	0.000706951043270192	0.000244872958218444	0.000439947795187811	0.00625106097063651	0.040290360446717	0.0362600143201481	0.00237861036277157	0.00349944402195848	0.00316374460933802	7.39783202322653e-06	0.00400787686718038	0.0125318590989982	0.14288650236867	0.109238510002136	0.115265425214766
stdev	17.275218913181	6.58157262289827	16.8857853866363	0.0330874062061271	0.0178204349665978	0.0291329428368254	0.0229202435906706	0.0229866102711812	0.0299425756907711	0.0251398045478711	0.0258850531755741	0.0287363994921684	0.0299933879711851	0.00909724746186259	0.0176151674032018	0.265210015189377	1.70937496150694	1.53838188329722	0.100819479387924	0.131610698513286	0.134226295318379	0.000251742582271625	0.0999195394491763	0.483291972792699	3.8969215806499	4.18920040431162	4.45382522792306
variance	298.433188498328	43.317098190484	285.129748123542	0.00109477644944926	0.000317567902398743	0.000848728358333737	0.000525337566255676	0.000528384251759173	0.000896557838997559	0.000632009772705161	0.000670035977902301	0.000825780655773499	0.00089960332199003	8.27599113823654e-05	0.000310294122642824	0.0703363521567498	2.92196275902684	2.36661881885709	0.0101645674240521	0.017321375963155	0.0180166983548966	6.33743277287858e-08	0.00998391436373551	0.233571130965859	15.1859978057349	17.5494000274846	19.8365591608839
median	-1777.61420329196	-1714.44847922046	-63.0595235089856	0.478432595010718	0.0806764087693839	0.29372271671924	0.144573040744775	0.164692776830717	0.388170441989287	0.205155643015777	0.239244148768101	0.356432152709218	0.513582891791576	0.0275943481305758	0.100439061680419	1.45971184830847	2.69164847784392	2.75365325461928	0.49140088993433	1.15113132998084	1.34925930915643	0.0024186241872793	0.623467883818825	46.4239430675051	-411.669250931595	-665.793726965416	-635.93554053514
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.477035000741846	0.080014255638055	0.2933086226951	0.143297016848346	0.163490983423641	0.387978996646482	0.204428374048407	0.238404174851656	0.35526699871358	0.512483161340405	0.0272408962166988	0.100049975382684	1.45187147809403	2.73060176260144	2.68920973607472	0.486220205427665	1.14405217737525	1.34261521039722	0.00241253916389195	0.620471506937453	46.5532261198654	NaN	NaN	NaN
HPD95.lower	-1810.31093039891	-1728.60905529536	-98.5970595175911	0.415193960709741	0.0479384447407572	0.242205686125661	0.0983027506602892	0.122949212089591	0.33055285887462	0.158317278568781	0.193403092640303	0.300781090093249	0.458434502198432	0.0118919679775536	0.0686367683856314	0.99786106124126	0.648273567720414	0.724632392815033	0.310781562807493	0.915156740441645	1.08455043351001	0.00193797115264976	0.442497179971666	46.0004202426637	-420.159964996276	-674.111631935811	-644.807470165073
HPD95.upper	-1742.43282434446	-1702.99030893165	-32.076330683803	0.541914149638673	0.114823900294233	0.350518013338478	0.185195540597532	0.211782654529625	0.446858743972315	0.255381186234041	0.291473110890945	0.41159404993339	0.574744862492632	0.0456630529667892	0.13412552583037	1.99676365680677	6.34003339964511	5.99641268802802	0.699972452308953	1.4232841942996	1.6050290723771	0.0028981067581961	0.826191022265441	47.4924561986854	-406.157553011397	-658.175783511089	-627.528013274866
ACT	30526.6344686239	15855.7360940767	34466.3866610893	10240.5536229285	10268.9699281949	10000	10000	12320.2024267027	11847.8547687751	11312.7955021164	10000	10000	10000	13041.6941106494	11227.9666139249	10000	10000	10000	10019.1316522517	12725.8876411277	10000	15544.1843227368	28960.1138302569	12102.7542248606	24199.7817555762	12239.4424073548	12056.0250771087
ESS	589.97659956623	1135.86653392447	522.53809420447	1758.69397916883	1753.82731918914	1801	1801	1461.82663045903	1520.10641179239	1592.00261302617	1801	1801	1801	1380.95556046616	1604.03041969007	1801	1801	1801	1797.56096886425	1415.22544500511	1801	1158.63268384282	621.889820791504	1488.09102997441	744.221587694695	1471.47226161036	1493.85887013426
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07
log.every	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
