trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	codon_0.treeLikelihood	codon_1.treeLikelihood	codon_2.treeLikelihood
mean	-6071.65280442254	-5480.73008516319	-590.922719259352	0.480938600351749	0.245558294312624	0.0990222608364747	0.174480844499152	0.30730837394147	0.419877825756935	0.0946944169618373	0.178119383339757	0.320498993462802	0.377161123503972	0.0824060938347412	0.219933789198487	10.0235104543609	3.0556154418599	3.05683986633709	0.670202813991084	0.945736449807298	1.3824902734111	0.00230450139402848	36.6327052567934	55.6668471840192	-1438.78938727517	-1784.35442782709	-2257.58627006093
stderr.of.mean	0.555116972002538	0.239152860585492	0.628899688978781	0.000693753691153336	0.000556118627869375	0.000323250819471994	0.000471961680744671	0.000553004897603146	0.000583232591763215	0.000286473940488934	0.000374513759661657	0.000526721962064198	0.000573242013666815	0.000230585980057006	0.000399742303821051	0.0233439420801966	0.038795115519595	0.0492288527556672	0.00114318927710229	0.00123047436586706	0.00134231554483869	6.90368268064903e-06	0.185708707890052	0.0798286529554577	0.119552791010615	0.185466136201189	0.195186060252773
stdev	11.8368543524311	8.83593283102756	10.7816724317548	0.0258509514048658	0.0219752462162462	0.0127430910890743	0.0183736374694633	0.0234620071667925	0.0247419673874042	0.0121540580815507	0.0158892706942171	0.0220245602224203	0.0223113167233126	0.00978293309897905	0.0169596270083129	0.887140491670812	1.64593710164657	1.64462381542933	0.0470225737178773	0.051897229209676	0.0547073798670538	0.000142494398408325	4.44012949374688	2.26266306022985	4.98245400009276	6.42346835273199	7.12492047319346
variance	140.111120960668	78.0737089944307	116.244460425662	0.000668271688536734	0.000482911446264645	0.000162386370504444	0.000337590553859266	0.000550465780294621	0.000612164950199371	0.000147721127849709	0.000252468923194105	0.000485081252991017	0.00049779485392797	9.57057800190999e-05	0.000287628948261097	0.787018251961929	2.7091089425767	2.70478749427732	0.00221112243905321	0.00269332239964165	0.00299289741191812	2.03046535777503e-08	19.7147499212409	5.11964412412871	24.8248478630404	41.2609456785494	50.7644917493314
median	-6071.26941337734	-5480.48753233277	-591.064389471414	0.481920944349629	0.245872689763528	0.098634718328836	0.173518652059287	0.307945629417691	0.419701378622627	0.0941325665433268	0.177460268528826	0.320142750098632	0.377097119419923	0.0820834880380512	0.219597972836736	9.99734341781767	2.66376388443901	2.6864386006423	0.668551407702595	0.94472617428219	1.38069350669749	0.00230217807229249	36.3608645154637	55.485048890445	-1438.66082592733	-1784.01040733448	-2257.40178513716
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.480239235304548	0.244567228489953	0.0982057665383903	0.173514389631309	0.306409923056556	0.419145458705977	0.0939153308927233	0.177411159798252	0.319742808472828	0.376499168115209	0.0818214379078247	0.219281408392344	9.98455130274992	2.69735651401251	2.69096995068978	0.668554978065137	0.944310670993756	1.38140914922987	0.00230011140262797	36.3653035419837	55.621362679016	NaN	NaN	NaN
HPD95.lower	-6094.84841525544	-5499.13603199274	-611.762947169301	0.432118881009028	0.203630880433306	0.075383805665111	0.137368513448591	0.259543922260762	0.37107320205652	0.073188777315766	0.1474955891744	0.275645913274957	0.329091774521312	0.0632580667620044	0.189225001987829	8.27012811743345	0.766037080403957	0.713760932035047	0.572501948622173	0.852482208105696	1.28098577954098	0.00204599821534972	28.6224889621375	51.338578071785	-1449.48845551243	-1796.68328484561	-2272.65047734012
HPD95.upper	-6050.12362162666	-5464.98105344832	-570.642594343736	0.533091548092732	0.288181464648897	0.123763906174552	0.209759558674662	0.350261239304708	0.468224684054738	0.12075966519811	0.209804781368834	0.363280855381314	0.417075714246835	0.100864724407716	0.254845425745603	11.688667219445	6.36541882486997	6.13259152310901	0.75576558409285	1.05140931898823	1.49533097278897	0.00260854137089431	46.2588967079023	59.8424583313422	-1429.98577388442	-1772.21684201322	-2244.71534079119
ACT	39588.4751823554	13186.171485724	61243.9037093307	12963.7283556223	11527.6227839375	11582.4934990473	11876.6938894491	10000	10002.0145190177	10000	10000	10294.866857192	11882.2310835999	10000	10000	12463.3835635827	10000	16127.9307945716	10638.8788531714	10118.8036616592	10836.5185706895	42251.1398150295	31488.0404891246	22405.2709140996	10363.4704674222	15005.9136287995	13508.5870225756
ESS	454.930378526604	1365.8247975539	294.070085497442	1389.26082882547	1562.33425898486	1554.93288224003	1516.41527243533	1801	1800.63725819993	1801	1801	1749.41553395789	1515.70861341502	1801	1801	1445.03295659007	1801	1116.69626001011	1692.84754987423	1779.85467474193	1661.97288202073	426.260689743416	571.963187300281	803.828709282257	1737.83483598615	1200.19350007687	1333.2260413248
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07
log.every	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
