trace	total.br.len	tree.height
mean	435.990239009688	57.1486179107784
stderr.of.mean	0.306656682840778	0.0392964645570794
stdev	10.0354215545587	1.66720753661288
variance	100.709685777701	2.7795809701388
median	435.600257046911	57.0611269376693
mode	numeric	numeric
geometric.mean	435.875056319675	57.1244654791781
HPD95.lower	416.512226042689	53.919804592994
HPD95.upper	455.860916805693	60.3056701843335
ACT	NA	NA
ESS	1071.53834194225	1801
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
