trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
mean	-2410.49558628794	-2042.94306675083	-367.55251953711	0.200831513006805	0.0581059682123158	0.102369642914278	0.638692875866603	0.0398207089017036	0.284335706281649	0.0716399261758272	0.604203658640819	0.0626871940013198	0.157298570720307	0.514868631301216	0.265145603977157	1.62793600267028	3.1258849249215	3.09339039870759	0.506029529805803	0.0862841995382096	2.40533403032173	0.00123627481452123	6.5876968846394	69.1418483344432	267.244005117444	-474.552578304048	-243.448750607821	-1324.94173783896
stderr.of.mean	0.425824943323983	0.194954502746959	0.397845585828751	0.000574162793941458	0.000328644229926142	0.000454735607332167	0.000730697822868034	0.000298532639014904	0.000728241865850391	0.00039949780020818	0.000802940662829158	0.000260890552885414	0.000418306546964284	0.000630204101638275	0.000519440759002647	0.00619443580260454	0.0390063345948244	0.0386954663723992	0.00192438648983492	0.00081247313679039	0.00201587349925222	3.10740194089364e-06	0.0242653792385373	0.114416916748261	0.473402464405526	0.0771842219283514	0.0407851080022067	0.172493350090227
stdev	15.1695102010945	7.73490865006941	13.1951922241254	0.0243596605468534	0.0138370511171131	0.0187836346099733	0.0302165436186756	0.0126656652525988	0.0295486946826368	0.0169492536001526	0.0327596899886622	0.0109140270939103	0.0177472410196181	0.0257882395312884	0.0220380015860006	0.24909296362385	1.65489836668829	1.6417093470357	0.0816447915956552	0.0344703105538898	0.0855262560816307	0.000115533466025065	0.890831244450331	4.75669023708595	17.1397411979194	3.27464869822154	1.73036531935542	6.88990679310837
variance	230.114039741109	59.8288118249186	174.113097831621	0.000593393061957927	0.000191463983617601	0.000352824929160987	0.000913039508259327	0.000160419076290889	0.000873125357447689	0.000287277197602285	0.00107319728815326	0.000119115987406608	0.000314964563808414	0.000665033298123108	0.000485673513904563	0.0620473045269127	2.73868860406759	2.6952095801444	0.00666587199469798	0.0011882023096816	0.00731474047934067	1.33479817717649e-08	0.793580306088925	22.6261020115888	293.770728331655	10.723324096764	2.99416413842798	47.4708156177208
median	-2410.43815315484	-2042.4452933846	-367.429004707497	0.200259067969218	0.0572294945836989	0.101553658944864	0.63950125957718	0.0385528883462821	0.283497142935046	0.0704612554282971	0.605227880791981	0.0623420701708255	0.156892676518347	0.51440533548135	0.264678254089172	1.60055697484839	2.79246135768573	2.73519145074624	0.501755667093474	0.0820891433448731	2.41014469946654	0.00123289284561548	6.53802534670603	68.7582203265598	265.899169189768	-474.375876036898	-243.167230176894	-1324.53680873426
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.199339840545855	0.0564414707189858	0.100648012120071	0.637973360125686	0.0378109449038067	0.28278619380616	0.0696285701937322	0.603311752288285	0.0617319012019415	0.156299556958579	0.514221220676689	0.26422318733953	1.60930765415031	2.75661263538454	2.74652967894374	0.499434705519295	0.0793200717487873	2.40380343025374	0.00123089366492989	6.52841226747098	68.9810875355564	266.699058413818	NaN	NaN	NaN
HPD95.lower	-2438.93645897751	-2058.71235119992	-392.325397021186	0.154165397029174	0.0322916661448624	0.0659733483613476	0.582540096952583	0.0187827543642203	0.226869148773142	0.0399923502977603	0.539069807686791	0.0413136810009845	0.120773077403504	0.464611689881581	0.222169912462284	1.15845487033517	0.735975143348425	0.844239088042635	0.345829748660986	0.0249693292758556	2.22423877965158	0.00102213564712746	4.88514900336808	60.5482459306905	237.28309304193	-480.801110887473	-247.074949753747	-1339.43857785737
HPD95.upper	-2381.20732480655	-2028.4640774471	-341.670706389864	0.248827791862831	0.0847374640702168	0.139055272213386	0.69846862711069	0.0676031347462577	0.339965074697861	0.104074448504153	0.665391935821611	0.0837341271180811	0.190503884906471	0.565958790703484	0.308152376401998	2.08392058929283	6.20075014425055	6.30481237774899	0.665383408381542	0.152020477315405	2.55468542972403	0.00147719326156173	8.34969043799409	78.170622556323	304.350365467482	-468.245481879693	-240.632107330328	-1312.55819957089
ACT	35459.4061136405	28586.9974066275	40908.1674366241	25000	25385.0084592315	26373.698752042	26314.700779754	25000	27332.9850217135	25000	27033.3406792989	25713.3718795581	25000	26873.9459690873	25000	27828.7034594149	25000	25000	25000	25000	25000	32553.0466194446	33388.4043622989	26036.5309761992	34329.2953092054	25000	25000	28205.2790007578
ESS	1269.76181878804	1575.01675882762	1100.6359566156	1801	1773.68465613515	1707.1932315339	1711.02078556186	1801	1647.2770889909	1801	1665.5359222576	1751.03445051462	1801	1675.41454655716	1801	1617.93380225795	1801	1801	1801	1801	1801	1383.12707029718	1348.52206506881	1729.30103634615	1311.56202288623	1801	1801	1596.33237447466
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
