trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	codon_0.treeLikelihood	codon_1.treeLikelihood	codon_2.treeLikelihood
mean	-6077.45404583367	-5480.5797449418	-596.874300891868	0.47899549278982	0.242035906603258	0.10329769154269	0.175670909064233	0.306431669733109	0.420309266881701	0.0945374495504696	0.178721613834719	0.320094620199973	0.379089709879153	0.081385300669187	0.219430369251685	7.17718388610665	9.84142562841576	10.7295347095494	0.671345897472672	0.946099621209243	1.38098946178224	0.00231914678379103	36.3619363661684	55.6037767110975	548.508078848095	-1438.38064133803	-1785.08481024261	-2257.11429336115
stderr.of.mean	0.365618930525868	0.244884714535197	0.370178728533639	0.000626798486380137	0.000525781545841863	0.000324174503599004	0.000460275840369375	0.000558141805976257	0.00056689352707523	0.000290857202493691	0.000388029426207345	0.000546395255448751	0.000527355236250825	0.000231587840563752	0.000416654770032022	0.0283513064666785	0.038093412766488	0.0367900788033028	0.00111553411152698	0.00140352306989898	0.0013492146555083	4.35182118445091e-06	0.134709800717199	0.0579844704153285	0.908622154438728	0.121950737723139	0.161698153982622	0.181898071995757
stdev	11.9317466885491	9.42110236214773	10.5462620863614	0.0259415754317581	0.0223070183468097	0.0130323873210071	0.0178110427231507	0.023559704515459	0.0240512517207255	0.0122649829872233	0.0157418607799169	0.0218268860231971	0.0223737843660862	0.00982543843390697	0.0164714233727217	1.20284387786109	1.55671223617095	1.51561644347491	0.0465064007810181	0.0535106134411364	0.0572423210974779	0.00014085402046903	4.361009336443	2.24865743142899	25.5228627672584	5.13502373126084	6.32616633685705	7.19994297023098
variance	142.366579039703	88.7571697180655	111.223643994223	0.000672965335881597	0.000497603067524906	0.000169843119284748	0.000317233242885899	0.000555059676855737	0.000578462709333702	0.000150429807676877	0.000247806180814287	0.000476412953469638	0.000500586226860124	9.65392404184962e-05	0.000271307787923444	1.4468333945079	2.42335298624436	2.29709320373153	0.00216284531360468	0.00286338575084673	0.00327668332462676	1.983985508229e-08	19.018402432543	5.05646024392084	651.416523836307	26.368468720612	40.0203805215834	51.8391787745785
median	-6076.84225155123	-5479.99230243687	-596.879185507115	0.4790771124282	0.24156975839093	0.102765853533536	0.175674394468772	0.306216698111457	0.420086005882472	0.0941063282379871	0.178302889350472	0.319966677574002	0.379206691852673	0.0811017242075926	0.219484724528951	7.05428511900655	9.65082096043745	10.6443215069864	0.669861799812901	0.945357656334183	1.37897551130108	0.00231976032881393	36.0597106986919	55.4283928226704	547.149868418464	-1438.30210400211	-1784.74727234972	-2256.82892933428
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.478289952822336	0.241009127234436	0.102476884533731	0.174767579085992	0.305524290019433	0.419621213454932	0.0937312842866571	0.178027522435631	0.3193471720844	0.378426032432896	0.0807904722231587	0.218811671189336	7.07930795211036	9.72182689667704	10.6237919991445	0.669734334144225	0.944588358902574	1.37980436914795	0.00231486575330134	36.1047493865502	55.5587923942104	547.916863381104	NaN	NaN	NaN
HPD95.lower	-6102.8949683427	-5499.07791229276	-616.366555369498	0.42896388923424	0.202745782285684	0.0786020400390658	0.14318166661485	0.260668803815584	0.372660996028575	0.0740137505626599	0.149843585207829	0.278690221384335	0.338353746834715	0.0641960825293597	0.188740192440376	5.01173858505863	6.89070229679075	7.90861404832916	0.586514904533854	0.847552898492739	1.27386160200282	0.00203514343263202	28.4458809949712	51.2605762981699	502.278276716227	-1448.03185365461	-1797.55890534924	-2271.58683733032
HPD95.upper	-6055.93962555675	-5463.0108413338	-575.596964371391	0.52736258334257	0.290405947311712	0.129162782899816	0.211672820159935	0.352797019071519	0.464345099203439	0.122757020443835	0.211343025344174	0.362216282104718	0.425268620946969	0.102647963455729	0.252600674771917	9.56119357130263	12.8319524650018	13.7671046672873	0.763922268309319	1.05618285449103	1.49458011577064	0.00257919231159667	45.1282537948918	59.9591330108705	602.9137671702	-1428.62559018515	-1773.01300794089	-2243.52408736044
ACT	42253.4016768372	30404.109654016	55441.9094085713	26270.9370223403	25000	27843.3913343609	30051.7694366047	25255.8394328741	25000	25306.8519778789	27341.955267846	28199.5811377956	25000	25000	28794.0553834978	25000	26946.0720519433	26515.2178101457	25891.2268451705	30957.9098668853	25000	42955.2220213916	42937.4979983494	29921.9003858024	57032.2167969887	25380.2755837072	29399.5910729772	28721.7209544138
