trace	total.br.len	tree.height
mean	2027.09695415365	384.173578621373
stderr.of.mean	17.857035616418	3.31322430852879
stdev	322.420885749983	77.3363115591768
variance	103955.227567804	5980.90508557806
median	1991.29788560573	374.087357232333
mode	numeric	numeric
geometric.mean	2002.52585887044	376.715966974405
HPD95.lower	1450.85249762545	252.621935964223
HPD95.upper	2655.72027998587	546.230802606479
ACT	NA	NA
ESS	326.188725262896	545.13814758656
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
