trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
mean	-2538.28611423292	-1792.97631161444	-745.309802618475	0.217758799348865	0.399028004154484	0.219159821627731	0.164053374868923	0.170769737823932	0.389268622303815	0.108717099911105	0.33124453996115	0.21603434225573	0.0901037420779135	0.630017744112807	0.0638441715535506	3.20859195992638	3.63845710819312	4.4407476116206	1.74441951961577	0.860762491251667	0.39836284398788	0.000124544943502083	123.293507222744	384.173578621373	2027.09695415365	-862.054736208904	-575.261570784168	-355.660004621368
stderr.of.mean	1.36872238470985	0.180855581265663	1.38779768053459	0.000591604673543541	0.000721561093603452	0.000603789449290629	0.000510973348650809	0.000554374858355086	0.000693533048110698	0.000542743075055531	0.00066314817626114	0.000613709211105414	0.00045801996418158	0.000731817969735714	0.000384063355566268	0.0157172155270116	0.0261192649565543	0.0438688839598425	0.0029685641275363	0.00263663828214721	0.00201614741025882	9.40230959257028e-07	1.42354131441895	3.31322430852879	17.8570356164179	0.14094220586973	0.096957845686676	0.0742120467313444
stdev	24.9811710143785	6.63764260714781	24.4323638154634	0.0236033489823884	0.0292969200973096	0.023640785024126	0.0205585635131823	0.0232782003970998	0.0294241107370042	0.0192232083645593	0.0281349900001242	0.0260374726728276	0.0189213123489462	0.0310484021482365	0.0157682026741487	0.658601460985602	1.10814639121298	1.86119883264331	0.125945490062046	0.111863071267717	0.0854658774556404	2.13615094176244e-05	26.2374105861815	77.3363115591768	322.420885749983	5.1853072313865	3.58269297459461	2.97844231499441
variance	624.058905249626	44.058299380224	596.940401611167	0.000557118083184417	0.000858309527188144	0.000558886716556942	0.000422654533725549	0.000541874613727538	0.000865778292663484	0.000369531739827263	0.000791577662307087	0.000677949983188245	0.000358016061006383	0.000964003275958619	0.00024863621557303	0.43375588441237	1.22798842435834	3.46406109463284	0.0158622664669689	0.0125133467134463	0.00730441620926254	4.56314084599254e-10	688.401714267867	5980.90508557806	103955.227567804	26.8874110838692	12.8356889502096	8.87111862374923
median	-2536.83124347626	-1792.25930264521	-744.712394493924	0.217176004019695	0.398122834196025	0.21917920390403	0.164108214566782	0.169438990618629	0.388607642830218	0.107887601103982	0.330677148209196	0.21529114112389	0.0886270143163961	0.630856742953893	0.0630590330622673	3.13549097405077	3.46052434944854	4.10056492933377	1.74802038728235	0.858875980282147	0.39303965051666	0.000123473374966128	119.858189526857	374.087357232333	1991.29788560573	-861.583931195227	-574.967237551878	-355.333910432298
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.216479296721474	0.397949948620478	0.217875081682721	0.162759443812113	0.169190253009177	0.388151735655859	0.10701222338993	0.330045314131835	0.214464334785916	0.088111258002344	0.629247245546881	0.0618981956193418	3.14421053637297	3.48227830599434	4.1089713771069	1.73983615274576	0.853445460400306	0.389169670732659	0.000122708733072225	120.658619317557	376.715966974405	2002.52585887044	NaN	NaN	NaN
HPD95.lower	-2584.4821955089	-1805.95414909491	-791.32828178671	0.173018812749866	0.341499969392671	0.173638963820215	0.125198754354225	0.124221895271834	0.336051622357524	0.0709709512964104	0.273196016850298	0.167556337075081	0.0549950632312255	0.569739888449414	0.0347718630417394	1.96515918515348	1.89098149543216	1.46648933462882	1.4966156714209	0.66187523490123	0.246688609287807	8.24793644047167e-05	74.2635700935153	252.621935964223	1450.85249762545	-872.293894992609	-582.401699162339	-361.150590082531
HPD95.upper	-2489.28852496778	-1780.74006483586	-697.65206730121	0.264739181906472	0.456608824938525	0.262194778776808	0.20188002542537	0.214480957298371	0.449458185760173	0.145339983391182	0.382694084191647	0.266353347396132	0.129192923217233	0.691886661264789	0.0934236503989133	4.46159223329976	5.94284066707609	7.94874069291649	1.97920098093029	1.0874654723017	0.563881723354902	0.000165753459074595	173.262494981963	546.230802606479	2655.72027998587	-852.574428758684	-568.824769364062	-349.97111506918
ACT	108070.589823674	26726.27720615	116151.201842856	22616.1306243077	21837.5870780314	23482.7859156424	22238.901556875	20417.8784421018	20000	28697.1786799775	20000	20000	21094.4726922496	20000	21357.1709496084	20502.5653276654	20000	20000	20000	20000	20033.7117052	69744.1181290314	105974.304581926	66074.9943100993	110426.870122409	26597.1748371639	26366.2944082266	22349.7566538628
ESS	333.300670041403	1347.73727452439	310.113020171177	1592.66855141373	1649.44963339087	1533.8895533688	1619.68431344869	1764.14019224086	1801	1255.17565338685	1801	1801	1707.55631228621	1801	1686.55296551159	1756.8533217351	1801	1801	1801	1801	1797.96936933312	516.459322539006	339.893714255551	545.13814758656	326.188725262896	1354.27917515772	1366.13812477044	1611.65065722425
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
