trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
mean	-50847.6050051306	-50487.9283458996	-359.676659231031	0.349343335368613	0.437755583195144	0.177160927379912	0.0357401540563297	0.220126102700542	0.311801308386558	0.136474403074405	0.331598185838496	0.276326399848315	0.387178891941451	0.283320797036764	0.0531739111734707	3.22046979831561	2.1282756052051	5.00356887828904	0.897260052071961	1.45167871669758	0.65057199338319	0.155395778588699	5.92414349169752	51.0042213899952	224.862752751959	-15659.2841714835	-21669.1275466772	-13159.5166277388
stderr.of.mean	0.231847842098424	0.213022744586527	0.0939079863043087	0.000160871875291726	0.000206629973796731	0.000119460435672339	4.83962661693219e-05	0.000125132432728403	0.000125324722793107	9.38445729388428e-05	0.000127569893298097	0.000202807558380154	0.00022425675232701	0.000170461594478995	6.82926217417694e-05	0.00294132871752668	0.00155951208010484	0.00484312215481712	0.00032902653740132	0.000378521013146352	0.000308523215275587	7.49853596207893e-05	0.013167641696217	0.0273219968858622	0.112202851636893	0.165959777457434	0.157635517135419	0.157332515636601
stdev	8.78587820745518	8.38266203325646	2.70696559372546	0.00672017199034005	0.00816014442722912	0.00506827626670302	0.00197160887792664	0.00505419061275467	0.00531198846444747	0.0038447291317588	0.00541233136234319	0.00708743059793181	0.00947770721578682	0.00699693962327389	0.00289741010918549	0.124789989653992	0.0661644838204972	0.205476239357856	0.0139594115929775	0.0152570360213848	0.0123780639818035	0.00240578156712406	0.540743831078477	1.10386206764352	3.804658687681	6.8197247728319	6.22470140627936	6.34489825999245
variance	77.1916558762359	70.2690227637993	7.32766272561341	4.5160711579751e-05	6.65879570732385e-05	2.56874243156251e-05	3.88724156751915e-06	2.55448427500574e-05	2.8217221446423e-05	1.47819420965948e-05	2.92933307758037e-05	5.02316724805001e-05	8.98269340681776e-05	4.89571640917402e-05	8.39498534081025e-06	0.0155725415178434	0.00437773891923284	0.0422204849406469	0.000194865172022153	0.000232777148157834	0.000153216467937622	5.78778494871391e-06	0.292403890849429	1.21851146438224	14.4754277297465	46.5086459771771	38.7469075973362	40.2577339296552
median	-50847.2773113537	-50487.2881331916	-359.534413950792	0.349116864560092	0.437720578992698	0.177199690739488	0.0356947487349318	0.220064102976593	0.311889963894575	0.136429910373296	0.331685443926246	0.27633908740364	0.387060084102898	0.28354474771537	0.0531218053125306	3.21626988775972	2.12570786998996	5.00443864607881	0.897455995604655	1.45128613559659	0.650671924126992	0.155428984223815	5.89979570516555	50.8914204062324	224.800797258428	-15659.2144952219	-21668.8696313787	-13159.3635066442
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.349278713367405	0.437679572038948	0.177088464731059	0.0356858698186499	0.220068051233142	0.311756049295942	0.136420298031654	0.331553998374319	0.27623553571651	0.387062814017059	0.283234378750333	0.053094882914554	3.21805917128341	2.1272512297444	4.99935736835304	0.897151537583422	1.4515986155865	0.650454102792155	0.155377158408968	5.89969410593827	50.9924052831879	224.830646748705	NaN	NaN	NaN
HPD95.lower	-50866.0436205761	-50506.365997352	-365.190014126461	0.336733065912116	0.423429819295758	0.166961970129929	0.0321454194047324	0.210586077264148	0.301276299093504	0.129274046041835	0.320561616345852	0.262677513153041	0.369522417126489	0.269537714842539	0.0472765732195703	2.96533344145342	2.00506144105983	4.60187746943549	0.871556140803211	1.42234531014528	0.623203377533147	0.150636260900707	4.94298758703539	48.8408688683263	217.575158180694	-15672.1927342126	-21681.2299271449	-13172.5482557332
HPD95.upper	-50831.5548093317	-50473.0203793951	-355.143360672018	0.36220615337937	0.455300678174924	0.186517276953599	0.0398124631884824	0.230498531360957	0.321997461605132	0.143830483224707	0.34189182471539	0.289974294353787	0.406021223435888	0.296622954667271	0.0583839810133967	3.45322188030382	2.26090799724757	5.3978242282198	0.925047549966191	1.4815521407775	0.672456902005173	0.160079944022515	7.02484759430503	53.1346847961761	232.182039867238	-15645.3648821695	-21656.3784902434	-13147.7269590959
ACT	25069.0643782465	23248.2573563881	43325.3371510827	20630.1240439357	23083.0566325168	20000	21691.2485009597	22066.7771367892	20038.3346642899	21448.1182105506	20000	29477.6597387845	20155.1876918036	21366.7863217341	20000	20000	20000	20000	20000	22158.5843584756	22365.1913244078	34973.8093219765	21346.9198976311	22054.5206090389	31309.6887729097	21319.369582832	23087.3172808717	22135.5345950045
