trace	total.br.len	tree.height
mean	185.673200452418	49.8840534686849
stderr.of.mean	0.109087549896149	0.0151203916535504
stdev	3.20275353747496	0.641503789347795
variance	10.2576302218084	0.41152711174758
median	185.5897032335	49.8383160283996
mode	numeric	numeric
geometric.mean	185.64563371276	49.8799430248137
HPD95.lower	180.039052531505	48.6921495750568
HPD95.upper	192.548483011495	51.1266443559909
ACT	NA	NA
ESS	862.458100555205	1801
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
