trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-9670.8359606443	-9136.04355793035	-534.792402713947	0.188184870563498	0.0299717129570144	0.527553817809041	0.254289598670446	2.48180490655437	0.00506904773183578	24.0499261185423	99.2191966173237	562.641002822029	-9136.04355793035
stderr.of.mean	0.264756024533424	0.199075738306818	0.178334876049912	0.000184660616310544	7.17831116554789e-05	0.000306562868165613	0.000256657875207334	0.00367802051197585	5.67326213574263e-06	0.0559178067326886	0.144394677354141	0.567252689963949	0.199075738306818
stdev	9.65761561733443	8.08554906332895	5.43825835501876	0.00766483232924629	0.00304549903159108	0.0110206245379887	0.0105974062227119	0.148707394624884	0.00019901041532516	2.31497743755469	5.34892591462281	18.6555299982536	8.08554906332895
variance	93.269539412182	65.3761036554997	29.5746539359313	5.87496546354591e-05	9.27506435142223e-06	0.000121454165207319	0.000112305018649173	0.0221138892161208	3.96051454078927e-08	5.35912053638728	28.6110084401235	348.028799515741	65.3761036554997
median	-9670.26336900384	-9135.67066294931	-534.694342427787	0.188063347844097	0.0299995117176523	0.527554037404852	0.25434619039485	2.48123088761481	0.00506801933086082	23.9820486187014	98.8383868773777	562.707844480387	-9135.67066294931
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.18802875839585	0.0298165854645598	0.527438654718703	0.254068886688	2.4773437148279	0.00506513634926249	23.9391554451477	99.0756247648192	562.332780282349	NaN
HPD95.lower	-9689.93838377501	-9151.57663310375	-544.639324121574	0.173978343146527	0.0237818915794386	0.507551166423135	0.234261293684091	2.18671764575149	0.00471510936978964	20.0317606316908	89.7955147363609	528.105216934517	-9151.57663310375
HPD95.upper	-9652.05219395211	-9120.15041835961	-523.16380973989	0.203989984772205	0.0358254367932827	0.550950462085713	0.275737935690727	2.76927485397052	0.00549231338235532	28.9402783099672	110.540637702128	601.614666344483	-9120.15041835961
ACT	27055.4173208608	21823.2789176087	38712.8606027485	20895.1556314017	20000	27856.6607160745	21116.0358923662	22022.4448465739	29256.1016462922	21004.3428667203	26234.4262503562	33284.3677149758	21823.2789176087
ESS	1331.34150446931	1650.53107445446	930.440154490745	1723.84454250574	1801	1293.04802061989	1705.81259586804	1635.60405081926	1231.19615988089	1714.88345189179	1373.00506045986	1082.1897026391	1650.53107445446
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
