trace	total.br.len	tree.height
mean	77.121341315613	46.587582782485
stderr.of.mean	0.0453557940432541	0.00756463815128243
stdev	1.62187919233705	0.32094036651181
variance	2.63049211453589	0.103002718856735
median	77.0634099114794	46.5603985979655
mode	numeric	numeric
geometric.mean	77.1043362217044	46.5864805022017
HPD95.lower	73.9761108400411	46.0209337179624
HPD95.upper	80.3001312226293	47.1679459543529
ACT	NA	NA
ESS	1279.41900300322	1801
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
