trace	total.br.len	tree.height
mean	2049.33382574765	387.673312232402
stderr.of.mean	15.9685896477021	3.43355473968478
stdev	315.363095031979	77.3750552332569
variance	99453.8817081487	5986.89917234956
median	2009.00138361556	377.591640609295
mode	numeric	numeric
geometric.mean	2026.42636270908	380.387800183185
HPD95.lower	1499.74561475949	249.519855448923
HPD95.upper	2675.48190877736	539.196583368317
ACT	NA	NA
ESS	390.238360721453	508.107183299252
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
