trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
mean	-5488.57241508317	-5209.81863875202	-278.753776331147	0.149078628199051	0.563237217015804	0.121244391016955	0.166439763768195	0.134329729062287	0.517884838849345	0.227089607827795	0.120695824260567	0.580858788962372	0.0420339683409124	0.240057734194349	0.137049508502372	2.44720298161775	2.69374868608745	3.95286571015703	0.115032735294638	2.81486507210831	0.0658880627651426	0.00859513769635035	3.31743056451074	48.8003806130224	168.98002709507	-518.447877755377	-4307.93590629378	-383.434854702862
stderr.of.mean	0.294221313259243	0.193808124325434	0.21287728663958	0.000523795405919076	0.000749112458064121	0.000488672710484064	0.000532323934327027	0.000232254798826778	0.000391050591743758	0.000333622663863546	0.00020237751529173	0.000761258303264168	0.000300333367519191	0.000635995929666213	0.00052615127342485	0.0170733682156988	0.00539294512291876	0.0385207437342215	0.000461609628462717	0.000559360954801669	0.000343756712444162	1.09164981296737e-05	0.0088279167467673	0.0205501077857278	0.143113566257999	0.0522984343578278	0.186638194218318	0.0575709917833008
stdev	11.034484891866	8.22258106865647	7.34349541088163	0.0222227535793462	0.0313131406969283	0.0207326240423658	0.0225845883397558	0.00985373507217344	0.0165908689522215	0.0136256671790805	0.00858418279984256	0.032297449524184	0.0127420636809964	0.0269830179163944	0.0223227045572563	0.724361554796713	0.214123234905313	1.48414987057246	0.0195844348905294	0.0237316717939787	0.0145843598961863	0.000418586439170292	0.351506101909644	0.868201685286234	5.29383537778371	2.21883431237879	7.91838674363754	2.20826599519566
variance	121.759856828819	67.6108394306277	53.9269248496395	0.000493850776648346	0.000980512780305626	0.000429841699682083	0.000510063630476235	9.70960948725809e-05	0.000275256932589788	0.000185658806075072	7.36881943411128e-05	0.00104312524576722	0.000162360186850568	0.00072808325587646	0.000498303138750552	0.524699662067512	0.0458487597263158	2.20270083832025	0.000383550089981384	0.000563192246137122	0.000212703553581488	1.75214607057264e-07	0.123556539679713	0.753774166333858	28.0246930070744	4.92322570578946	62.7008486218147	4.8764387055375
median	-5488.21838776016	-5209.52239901088	-278.850165352731	0.148482698429089	0.56382724596377	0.120316674567702	0.166006299685561	0.13409633965276	0.517834519027397	0.226867301404292	0.120540889397334	0.581671175073477	0.0405462141204909	0.238782843194748	0.135400539243838	2.34637791858588	2.6862178192631	3.67697451899885	0.113360793200196	2.81571195260747	0.0649094196892942	0.00858669813619672	3.29481831394661	48.7309922816117	169.018613339576	-518.183218314806	-4307.5354338192	-383.232643743128
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.14742072515146	0.562364747624756	0.119442714688139	0.164901497379905	0.133968817650009	0.517618870236163	0.226680394658487	0.12039102142968	0.579955045836078	0.0401134224293285	0.238548848753796	0.135223078523729	2.34756436035712	2.68529659997135	3.70137712312381	0.113364024624737	2.81476491507189	0.0642793156645875	0.00858497017246707	3.29904558270997	48.7926963737041	168.897271133089	NaN	NaN	NaN
HPD95.lower	-5509.54829362841	-5224.87216282557	-292.595738496873	0.101854439308205	0.503155911216027	0.0781918145928391	0.123185708750844	0.115283173005672	0.487352361198084	0.200644221985186	0.10302831930952	0.519106009121719	0.0165159948389265	0.187111908732613	0.0928173440451473	1.16769891310755	2.29679094128129	1.56745823313959	0.0771437742665845	2.76684986493522	0.0381151013367261	0.00780834164390121	2.67293367163847	47.1541508730516	158.26652849099	-522.778927924604	-4323.94435927473	-387.598555367699
HPD95.upper	-5466.26697124047	-5193.08585230035	-264.186755268125	0.188776862475587	0.627245920863781	0.159047361412819	0.212600000223688	0.153677553339252	0.549780978799391	0.25371925828665	0.136780590333605	0.639612391757854	0.065214528261489	0.29377084625081	0.182307747568669	3.81649874082962	3.12484673941067	6.73290357203195	0.153316441765869	2.85790010466982	0.0935226119981906	0.00945060468055421	4.05463317887775	50.5744578701745	178.810319574351	-514.295072633359	-4292.89089567025	-379.273601941476
ACT	25594.4910059364	20000	30252.0885632265	20000	20603.6017727927	20000	20000	20000	20000	21582.3089373442	20009.1652557559	20000	20000	20000	20000	20000	22836.3545416117	24251.3643730629	20000	20000	20000	24484.9232543358	22706.651129297	20169.2303436519	26310.137090055	20000	20000	24468.4815692426
