trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
mean	-43348.1234295176	-42969.1587261779	-378.964703339692	0.129673659693229	0.249479203941319	0.184979089077413	0.435868047288039	0.0317710992450613	0.226557291453943	0.404635845005977	0.337035764295016	0.532853721166784	0.140689748392531	0.239333143804016	0.0871233866366718	1.97820485922529	2.15781747228191	1.41305962894356	1.34633735520224	0.455738827315693	1.19957304298302	0.102931162034945	7.02591974661033	56.6805166253267	248.068637183258	-17705.2024939088	-9089.7505119309	-16174.2057203382
stderr.of.mean	0.230619115190102	0.219976699605519	0.0709570523466362	0.000107072297320277	0.000144044008440736	0.000143694513635198	0.000177236366255408	6.9772089939712e-05	0.000199182134702587	0.000284328911721591	0.000234062495108107	0.000164816679712444	0.000115777003363529	0.00013049351633146	9.60998760482047e-05	0.0017014584355454	0.00276225971097149	0.00134435051022819	0.000380209174047988	0.000250146935105182	0.00038497519322722	4.5261561700691e-05	0.0150239655369645	0.0509697208655496	0.124512799659308	0.145260712953763	0.127507674558197	0.151490587943729
stdev	9.13068689974113	8.72211004228591	2.41662708869465	0.00454269214971051	0.00575701506413493	0.00538593526652392	0.00671016394185599	0.00296017861921789	0.00845058098426241	0.0120630522323611	0.00993042911826915	0.00699257843353736	0.00491200149300342	0.00553637016355286	0.00388406919023828	0.0719506241245635	0.117192736296277	0.0553555289218931	0.0161309066249821	0.0106128340085709	0.0158515811833743	0.00156129941563057	0.637412776323845	2.16246178183962	5.07312523495761	5.9965772967357	4.95692509127367	6.10755092165636
variance	83.3694432611043	76.0752035897446	5.84008648581278	2.06360519670415e-05	3.31432224486765e-05	2.90082986951861e-05	4.50263001265843e-05	8.76265745767473e-06	7.14123189715774e-05	0.000145517229160672	9.86134224729678e-05	4.88961531491718e-05	2.41277586672679e-05	3.06513945878784e-05	1.50859934745583e-05	0.00517689231191422	0.0137341374406087	0.00306423458222255	0.000260206148543892	0.00011263224569348	0.000251272626013107	2.43765586524835e-06	0.406295047420872	4.67624095791698	25.7365996495637	35.9589392757261	24.5711063604984	37.3021782606255
median	-43348.1253836413	-42968.8492350071	-378.88332428805	0.129482493185874	0.249426244035307	0.185062745951996	0.43600418732665	0.0316338153654265	0.226554719974563	0.404191790021629	0.336791562049175	0.532786888989325	0.14064487553337	0.239452226450668	0.0870584614892785	1.97767406108708	2.15665455573433	1.41233678786296	1.34621453586484	0.455864996139362	1.19925343718479	0.10294936116981	6.98961941130864	56.406826364512	247.586180544188	-17705.0973557251	-9089.56497503226	-16174.136359428
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.129594129734491	0.249412826505105	0.184900639983382	0.435816400706248	0.0316341479987852	0.226399374804623	0.404456247600201	0.336889388046679	0.532807834013651	0.140604080690618	0.239269182637492	0.0870369314910017	1.97689689712499	2.15464388345222	1.41197468554162	1.34624077075585	0.455615242053616	1.19946835579117	0.102919321625854	6.99745998715705	56.6401008535505	248.017149713513	NaN	NaN	NaN
HPD95.lower	-43365.6873058905	-42986.5733498612	-383.694340042002	0.121313838308109	0.238254860535004	0.174478930297967	0.42267910914825	0.0258640854829536	0.20967004224833	0.380882764075644	0.318382731379192	0.519810635735109	0.13116547843094	0.227721449622753	0.0798541659240608	1.84202902328309	1.9338871029773	1.30101430871874	1.31648880351057	0.435893776017432	1.16713972542746	0.099922539668635	5.89440196737903	52.8102401511837	238.809785189521	-17716.5375163116	-9099.68832703787	-16186.3192685376
HPD95.upper	-43330.2961374542	-42952.8184489324	-374.26996821636	0.139362041906803	0.260564941745932	0.195301451128583	0.448342934625976	0.0371874950164985	0.242963835169905	0.428426682660365	0.356893660107194	0.547366573264064	0.149986446269314	0.249800942900494	0.0950020619360754	2.12243489724976	2.39594309842713	1.51769586362575	1.38047358384321	0.476589190213142	1.22887440749845	0.105882392007373	8.33336724321608	60.8234563717371	258.129496112923	-17693.017084464	-9080.38914310154	-16162.9362960173
ACT	22966.0374429445	22898.7938438733	31036.6057925667	20000	22537.1000014294	25624.7998321492	25115.4971790621	20000	20000	20000	20000	20000	20000	20000	22038.0978091233	20131.4902142946	20000	21232.7081265977	20000	20000	21233.5534369014	30254.434648527	20000	20000	21685.9871693658	21124.7626056346	23820.4688600756	22148.252997817
ESS	1568.40291188613	1573.00861545759	1160.56505149886	1801	1598.25354627328	1405.66951687204	1434.17427667045	1801	1801	1801	1801	1801	1801	1801	1634.44233308959	1789.23664450948	1801	1696.439275915	1801	1801	1696.37174046439	1190.56926425673	1801	1801	1660.98041646371	1705.10791872248	1512.14487891006	1626.31337124198
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
