trace	total.br.len	tree.height
mean	863.407788874535	77.368537987266
stderr.of.mean	0.780590216964124	0.109675789984622
stdev	19.7729022913797	4.30937893208838
variance	390.967665024448	18.5707467803272
median	863.39669096651	76.7943712312215
mode	numeric	numeric
geometric.mean	863.181656181791	77.2512236350831
HPD95.lower	824.038984375723	69.6061902722511
HPD95.upper	901.722971017213	86.2900841001475
ACT	NA	NA
ESS	642.001398737739	1544.71785853942
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
