trace	total.br.len	tree.height
mean	73.6252489918434	46.1062601063953
stderr.of.mean	0.0353958796796511	0.00249342039504033
stdev	1.37428785490824	0.102199323488781
variance	1.88866710814828	0.0104447017215646
median	73.5920539076948	46.0756722765569
mode	numeric	numeric
geometric.mean	73.6124483228597	46.1061471829211
HPD95.lower	70.8005204353001	46.0000437153451
HPD95.upper	76.2059069359564	46.3085777166147
ACT	NA	NA
ESS	1508.31252851431	1680.91738431319
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
