trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	kappa.1	kappa.2	r_0	r_1	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood
mean	-29628.3169172526	-29249.8701717405	-378.446745512041	0.275024338808851	0.223879170511546	0.310789929567865	0.190306561111736	0.225389896439696	0.516334098023325	0.169121285432647	0.0891547201043393	3.44564471033688	9.08358907638428	0.503290317228716	1.24835484138564	0.0654972661394057	6.84781197430601	67.3767561867656	280.849184210716	-7215.37789159741	-22034.4922801431
stderr.of.mean	0.227367886437407	0.20159569717054	0.110241951695695	0.000257718933834099	0.000247272799583009	0.000300011559939581	0.000219612616103245	0.000125534639663431	0.000166677629549287	0.000105246038229143	6.06170948971188e-05	0.00481102418162657	0.00710187277776521	0.000324180582580028	0.000162090291290015	4.08302326559881e-05	0.0151528983460589	0.0733008466748968	0.214401598917707	0.129069959017961	0.186717587454119
stdev	9.25475362489759	8.55297975173455	3.46747529312887	0.010766294630586	0.0104908947843221	0.0113751949699411	0.00931737276697684	0.0053259828768782	0.007014050148395	0.00442580925886257	0.00257176513457745	0.198326646473942	0.301306897518926	0.0136839456606881	0.00684197283034407	0.00143318961239041	0.642882931297369	3.10989106511053	7.92310331464672	5.47597375108634	7.75517544924199
variance	85.6504646575552	73.1534626335812	12.0233849084592	0.000115913100072585	0.000110058873375716	0.000129395060604173	8.68134352788016e-05	2.83660936047998e-05	4.91968994842e-05	1.95877875958336e-05	6.61397590742815e-06	0.0393334587016002	0.0907858464924806	0.000187250368844665	4.68125922111664e-05	2.05403246506378e-06	0.413298463353498	9.67142243685429	62.7755661345658	29.9862885225865	60.1427462485257
median	-29627.9360137373	-29249.5749260604	-378.452324293139	0.274857911026962	0.223550167461432	0.310910658818572	0.189962323272664	0.225315067231251	0.516347040929209	0.169133597734439	0.0890309491121386	3.44045072611963	9.07789614887207	0.502304022793796	1.2488479886031	0.0654859279366028	6.81801272259093	67.0445411001716	280.318506383096	-7215.1640380196	-22034.1494768867
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.274813743659419	0.223633232913709	0.310581676718801	0.190079025996918	0.225327034212935	0.51628650038969	0.169063373204292	0.0891177166926668	3.43996637118935	9.07860145942551	0.503104805021997	1.24833608958681	0.0654815947310757	6.81801329857442	67.3062767800066	280.738347984427	NaN	NaN
HPD95.lower	-29646.6888777595	-29267.1392661767	-385.075790743442	0.253772701307656	0.203022577099591	0.288387247226768	0.172556584171109	0.215255220371862	0.502771502966822	0.160321695437781	0.0844431317905248	3.06175416857304	8.4934387259499	0.476106121760027	1.23522877189722	0.0625429990281206	5.69827980889016	61.8959581560308	265.540949165454	-7227.13091667491	-22049.4934551147
HPD95.upper	-29610.7218010892	-29234.2141650174	-371.893530990855	0.294826896127557	0.243368082854474	0.332417460416846	0.207933539460207	0.235767370414708	0.52926483110482	0.177430790986697	0.0941678285025131	3.82314063604376	9.65284425841453	0.529542456205558	1.26194693911999	0.0681988859128247	8.158867877214	73.8042946911215	296.052193786207	-7205.74177578593	-22019.9689774053
ACT	27160.6966936431	25000	45486.1747738754	25785.3191243087	25000	31301.8971155008	25000	25000	25411.4400684112	25447.1123423061	25000	26480.447647866	25000	25255.9491606883	25255.9491606886	36523.1969626096	25000	25000	32951.6966832585	25000	26085.5248480555
ESS	1657.72625451607	1801	989.861210001324	1746.14864306851	1801	1438.41121941786	1801	1801	1771.83976503442	1769.35596441508	1801	1700.31113517178	1801	1782.74828293061	1782.7482829306	1232.77817235151	1801	1801	1366.39398064366	1801	1726.05306054849
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
