trace	total.br.len	tree.height
mean	443.554381772516	55.6603876398833
stderr.of.mean	0.456745569950834	0.0759941636407246
stdev	17.08994609101	3.15553046289243
variance	292.066257393626	9.95737250224208
median	443.017211760898	55.503196216932
mode	numeric	numeric
geometric.mean	443.226566140789	55.571874877297
HPD95.lower	411.640030189179	49.6966148795528
HPD95.upper	478.358281242124	61.2971864096266
ACT	NA	NA
ESS	1400.7932482306	1725.14505092497
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
