trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	kappa.1	kappa.2	r_0	r_1	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood
mean	-30245.8650426918	-29831.1444932929	-414.720549398906	0.0416960720167681	0.167904968127243	0.519671941662817	0.270727018193169	0.187272185710553	0.228308707396563	0.0312924099117673	0.553126696981116	1.71940938430608	3.49299343325535	1.51142812630741	0.744285936846297	0.0566830043380511	9.20585368446509	76.8690346844023	333.2969815202	-13632.7961456564	-16198.3483476364
stderr.of.mean	0.226893199154853	0.208515294052923	0.098704277366291	6.06008027191497e-05	0.000127587476802389	0.000197183173690505	0.00015856136991911	0.000159288793561407	0.000133223323450284	5.72568461102137e-05	0.000173579635325743	0.00202942700903166	0.00357883760825359	0.000483279058814017	0.000241639529407008	3.04411140320057e-05	0.0201595431301283	0.21365757223715	0.448467670913134	0.152605627822109	0.167266516556965
stdev	8.84825709278648	8.39301902427307	3.09495979849284	0.00257107391611278	0.00541307736713541	0.00836577226413193	0.00672718815609532	0.00675805012274849	0.00565218605318316	0.00242536400042836	0.00736435909640781	0.078698752628314	0.145937691611936	0.0205037908174047	0.0102518954087023	0.00108547035317617	0.855296847185899	9.0647216919675	19.026868938491	6.16488383028967	6.81182522976005
variance	78.2916535800462	70.4427683418096	9.57877615428685	6.61042108211551e-06	2.93014065825937e-05	6.99861455753191e-05	4.52550604875092e-05	4.56712414615808e-05	3.19472071797982e-05	5.88239053457384e-06	5.42337849008445e-05	0.00619349366525257	0.0212978098330206	0.000420405437883887	0.000105101359470972	1.17824588762439e-06	0.731532696806139	82.1691793528261	362.021741602512	38.005792640967	46.4009629607955
median	-30245.3245938899	-29830.8838637036	-414.646660023805	0.0416790548327997	0.167931301386147	0.519730049931781	0.270637354715966	0.187391304269417	0.22830719242515	0.0312396880597557	0.553129180762741	1.72084140895106	3.48975766798029	1.51075773690131	0.744621131549345	0.0566884624637889	9.14888514506055	75.2182497839145	330.155897480808	-13632.5301528908	-16198.0747177957
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.0416168211913012	0.167817577136603	0.519604588825067	0.270643435986741	0.187150143798393	0.228238774832951	0.031198479527454	0.553077709405557	1.71760732375397	3.48995338629121	1.51128924895962	0.744215273340474	0.0566726163258474	9.16656996618177	76.3788801811179	332.777843372146	NaN	NaN
HPD95.lower	-30263.5926520586	-29847.1458249701	-420.493003729585	0.0369495061584608	0.157000378963374	0.503301181510676	0.257913108472619	0.17485805210836	0.217836391578832	0.026652895195845	0.537897046692269	1.55398276730543	3.18181722710497	1.46899903360564	0.725592138904972	0.0544483128164377	7.59877024171062	62.4855934121907	303.317631186117	-13644.545536448	-16211.8982054782
HPD95.upper	-30229.9359506354	-29815.9204104728	-408.372999872208	0.0466720637664362	0.177822813052101	0.535912556713533	0.284469227230608	0.200798333299631	0.239727445574107	0.0362236766010291	0.56641176311993	1.86192311646731	3.75720813874191	1.54881572219006	0.765500483197181	0.0586415260284627	10.9112580289629	94.9782949832769	372.720043753407	-13620.9394693513	-16186.1388491541
ACT	29589.6529333966	27774.8546176581	45769.3033320227	25000	25000	25000	25000	25000	25000	25079.1821441161	25000	29924.269263695	27062.0953426712	25000	25000	35391.3827543327	25000	25000	25000	27574.2484937255	27133.3496403677
ESS	1521.64677636966	1621.07059136054	983.737936174748	1801	1801	1801	1801	1801	1801	1795.31372838502	1801	1504.63156186827	1663.76621728197	1801	1801	1272.20234124613	1801	1801	1801	1632.86408368465	1659.39703710647
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
